Cp,H,S,T
0.0354134,0.0260575,0.00597888,5
0.283306,0.803054,0.103542,10
1.75022,8.21662,0.567536,20
8.46152,54.7587,2.36315,30
19.3253,190.673,6.19876,40
35.4108,458.353,12.1057,50
119.315,2245.17,39.9549,75
276.765,7039.26,94.0426,100
506.792,16694.6,179.27,125
790.126,32826.6,296.134,150
1095.55,56383.3,440.779,175
1396.19,87561.2,606.862,200
1675.66,126014,787.702,225
1926.59,171105,977.501,250
2147.42,222092,1171.72,275
2326.34,273921,1352.58,298.15
2339.64,278237,1367.01,300
2506.14,338860,1561.01,325
2650.21,403357,1752.14,350
2775.11,471210,1939.35,375
2883.8,541978,2122,400
2978.95,615288,2299.74,425
3062.85,690831,2472.44,450
3137.48,768353,2640.08,475
3204.52,847642,2802.74,500
3265.41,928528,2960.59,525
3321.33,1010870,3113.8,550
3373.27,1094560,3262.6,575
3422.06,1179510,3407.2,600
3468.37,1265640,3547.85,625
3512.73,1352910,3684.75,650
3555.57,1441270,3818.13,675
3597.24,1530680,3948.19,700
3637.98,1621120,4075.14,725
3678.01,1712570,4199.15,750
3717.46,1805020,4320.39,775
3756.42,1898440,4439.03,800
3794.98,1992840,4555.21,825
