F2,F3,ID:GO:0030141      Name:secretory granule,F4
,,C=354; O=129; E=41.15; R=3.13; PValue=0e+00; FDR=0e+00,
Gene Symbol,Gene Name,userid,
CRISP3,cysteine rich secretory protein 3,CRISP3,10321
OLFM4,olfactomedin 4,OLFM4,10562
ZPBP,zona pellucida binding protein,ZPBP,11055
CHGA,chromogranin A,CHGA,1113
CAPN11,calpain 11,CAPN11,11131
CHGB,chromogranin B,CHGB,1114
CLCA1,chloride channel accessory 1,CLCA1,1179
SERPINA3,serpin family A member 3,SERPINA3,12
SPACA7,sperm acrosome associated 7,SPACA7,122258
ZPBP2,zona pellucida binding protein 2,ZPBP2,124626
SPACA3,sperm acrosome associated 3,SPACA3,124912
COL1A1,collagen type I alpha 1 chain,COL1A1,1277
SYT2,synaptotagmin 2,SYT2,127833
MROH2B,maestro heat like repeat family member 2B,MROH2B,133558
CPA3,carboxypeptidase A3,CPA3,1359
CRHBP,corticotropin releasing hormone binding protein,CRHBP,1393
SYT9,synaptotagmin 9,SYT9,143425
CTSG,cathepsin G,CTSG,1511
CYLC1,cylicin 1,CYLC1,1538
TBC1D21,TBC1 domain family member 21,TBC1D21,161514
DBH,dopamine beta-hydroxylase,DBH,1621
DEFA4,defensin alpha 4,DEFA4,1669
SLC30A8,solute carrier family 30 member 8,SLC30A8,169026
FAM170B,family with sequence similarity 170 member B,FAM170B,170370
DMBT1,deleted in malignant brain tumors 1,DMBT1,1755
DRD2,dopamine receptor D2,DRD2,1813
ECM1,extracellular matrix protein 1,ECM1,1893
AHSG,alpha 2-HS glycoprotein,AHSG,197
ELANE,"elastase, neutrophil expressed",ELANE,1991
ABCA3,ATP binding cassette subfamily A member 3,ABCA3,21
F5,coagulation factor V,F5,2153
F13A1,coagulation factor XIII A chain,F13A1,2162
FGA,fibrinogen alpha chain,FGA,2243
FGB,fibrinogen beta chain,FGB,2244
FGG,fibrinogen gamma chain,FGG,2266
RPH3A,rabphilin 3A,RPH3A,22895
MMRN1,multimerin 1,MMRN1,22915
ZP1,zona pellucida glycoprotein 1,ZP1,22917
FSTL4,follistatin like 4,FSTL4,23105
ARC,activity regulated cytoskeleton associated protein,ARC,23237
SFTA3,surfactant associated 3,SFTA3,253970
TXNDC8,thioredoxin domain containing 8,TXNDC8,255220
KLK5,kallikrein related peptidase 5,KLK5,25818
KLK13,kallikrein related peptidase 13,KLK13,26085
SPAG8,sperm associated antigen 8,SPAG8,26206
GCG,glucagon,GCG,2641
GHRHR,growth hormone releasing hormone receptor,GHRHR,2692
GIP,gastric inhibitory polypeptide,GIP,2695
HGF,hepatocyte growth factor,HGF,3082
HRG,histidine rich glycoprotein,HRG,3273
APOA1,apolipoprotein A1,APOA1,335
TMEM225,transmembrane protein 225,TMEM225,338661
TREML1,triggering receptor expressed on myeloid cells like 1,TREML1,340205
IGF1,insulin like growth factor 1,IGF1,3479
IGF2,insulin like growth factor 2,IGF2,3481
IL1B,interleukin 1 beta,IL1B,3553
INS,insulin,INS,3630
ISLR,immunoglobulin superfamily containing leucine rich repeat,ISLR,3671
ITGA1,integrin subunit alpha 1,ITGA1,3672
ITGA2B,integrin subunit alpha 2b,ITGA2B,3674
ITGB3,integrin subunit beta 3,ITGB3,3690
ITIH3,inter-alpha-trypsin inhibitor heavy chain 3,ITIH3,3699
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",ITPR1,3708
CATSPER4,cation channel sperm associated 4,CATSPER4,378807
PATE4,prostate and testis expressed 4,PATE4,399968
LOXL1,lysyl oxidase like 1,LOXL1,4016
LTF,lactotransferrin,LTF,4057
MPO,myeloperoxidase,MPO,4353
NCF2,neutrophil cytosolic factor 2,NCF2,4688
ACR,acrosin,ACR,49
ORM1,orosomucoid 1,ORM1,5004
OXT,oxytocin/neurophysin I prepropeptide,OXT,5020
PCDH7,protocadherin 7,PCDH7,5099
SERPINA5,serpin family A member 5,SERPINA5,5104
PCSK1,proprotein convertase subtilisin/kexin type 1,PCSK1,5122
PCSK2,proprotein convertase subtilisin/kexin type 2,PCSK2,5126
PLA1A,phospholipase A1 member A,PLA1A,51365
PECAM1,platelet and endothelial cell adhesion molecule 1,PECAM1,5175
SERPINA4,serpin family A member 4,SERPINA4,5267
PLA2G1B,phospholipase A2 group IB,PLA2G1B,5319
PLAT,"plasminogen activator, tissue type",PLAT,5327
PLG,plasminogen,PLG,5340
SERPINF2,serpin family F member 2,SERPINF2,5345
POMC,proopiomelanocortin,POMC,5443
SRGN,serglycin,SRGN,5552
PRKACG,protein kinase cAMP-activated catalytic subunit gamma,PRKACG,5568
PRL,prolactin,PRL,5617
KLK7,kallikrein related peptidase 7,KLK7,5650
AZU1,azurocidin 1,AZU1,566
PTPRN,"protein tyrosine phosphatase, receptor type N",PTPRN,5798
PTPRN2,"protein tyrosine phosphatase, receptor type N2",PTPRN2,5799
RAB13,"RAB13, member RAS oncogene family",RAB13,5872
TSKS,testis specific serine kinase substrate,TSKS,60385
SELP,selectin P,SELP,6403
SFTPB,surfactant protein B,SFTPB,6439
SFTPC,surfactant protein C,SFTPC,6440
SFTPD,surfactant protein D,SFTPD,6441
TEKT3,tektin 3,TEKT3,64518
SPINK8,"serine peptidase inhibitor, Kazal type 8 (putative)",SPINK8,646424
FABP9,fatty acid binding protein 9,FABP9,646480
SLC2A4,solute carrier family 2 member 4,SLC2A4,6517
SFTPA1,surfactant protein A1,SFTPA1,653509
ZG16,zymogen granule protein 16,ZG16,653808
SNCA,synuclein alpha,SNCA,6622
SPAM1,sperm adhesion molecule 1,SPAM1,6677
SPARC,secreted protein acidic and cysteine rich,SPARC,6678
SPP2,secreted phosphoprotein 2,SPP2,6694
SYT4,synaptotagmin 4,SYT4,6860
SYT5,synaptotagmin 5,SYT5,6861
TBXA2R,thromboxane A2 receptor,TBXA2R,6915
TCP11,t-complex 11,TCP11,6954
TF,transferrin,TF,7018
LEFTY2,left-right determination factor 2,LEFTY2,7044
THBS2,thrombospondin 2,THBS2,7058
SERPING1,serpin family G member 1,SERPING1,710
TRH,thyrotropin releasing hormone,TRH,7200
SCGB1A1,secretoglobin family 1A member 1,SCGB1A1,7356
VEGFC,vascular endothelial growth factor C,VEGFC,7424
CA4,carbonic anhydrase 4,CA4,762
ZP2,zona pellucida glycoprotein 2,ZP2,7783
RND2,Rho family GTPase 2,RND2,8153
SPACA1,sperm acrosome associated 1,SPACA1,81833
TEX101,testis expressed 101,TEX101,83639
ACRBP,acrosin binding protein,ACRBP,84519
ACTN2,actinin alpha 2,ACTN2,88
LACRT,lacritin,LACRT,90070
CD36,CD36 molecule,CD36,948
CARTPT,CART prepropeptide,CARTPT,9607
SV2B,synaptic vesicle glycoprotein 2B,SV2B,9899
