# energy (MeV),N (Cm2 G-1)
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,3.714146446e-10
8.2,9.138224605e-10
8.3,1.293133479e-09
8.4,1.509347700e-09
8.5,1.562465124e-09
8.6,3.598561715e-09
8.7,6.471377160e-09
8.8,1.018091146e-08
8.9,1.472716461e-08
9,2.011013662e-08
9.1,2.340110604e-08
9.2,2.669207808e-08
9.3,2.998305276e-08
9.4,3.327403007e-08
9.5,3.656501001e-08
9.6,4.680326006e-08
9.7,5.704151830e-08
9.8,6.727978472e-08
9.9,7.751805934e-08
10,8.775634215e-08
10.1,9.080220139e-08
10.2,9.384798446e-08
10.3,9.689369136e-08
10.4,9.322390935e-08
10.5,8.955517602e-08
10.6,7.126075369e-08
10.7,5.297542870e-08
10.8,3.469920104e-08
10.9,3.833504428e-08
11,4.196773471e-08
11.1,7.663614864e-08
11.2,1.113035876e-07
11.3,1.459700516e-07
11.4,1.550526730e-07
11.5,1.641305438e-07
11.6,1.385659091e-07
11.7,1.130134926e-07
11.8,8.747329403e-08
11.9,6.194531357e-08
12,3.642955117e-08
12.1,3.217917311e-08
12.2,2.792885844e-08
12.3,2.367860722e-08
12.4,3.641719697e-08
12.5,4.914784984e-08
12.6,6.524268248e-08
12.7,8.155031172e-08
12.8,9.807073756e-08
12.9,1.148039600e-07
13,1.317499790e-07
13.1,1.452841910e-07
13.2,1.593682177e-07
13.3,1.289965058e-07
13.4,9.838166477e-08
13.5,9.724143057e-08
13.6,1.118883787e-07
13.7,1.270890902e-07
13.8,1.233517257e-07
13.9,1.196261975e-07
14,1.159125056e-07
14.1,1.115218716e-07
14.2,1.069082952e-07
14.3,1.344334017e-07
14.4,1.622063042e-07
14.5,1.902270025e-07
14.6,2.137253277e-07
14.7,2.376513324e-07
14.8,2.620050160e-07
14.9,2.112101911e-07
15,1.604644631e-07
15.1,1.408485439e-07
15.2,1.207982231e-07
15.3,1.117438140e-07
15.4,1.026497928e-07
15.5,1.053389569e-07
