Contract Number,Date,Department family,Description,Entity,Expenditure Type,Expense area,Expense type,Project Code,Supplier,Supplier Postcode,Supplier Type,Transaction number,Amount
,06/09/2018,HMRC,Contractor user research,HMRC,,Digital,Contin Labor Build,,CX PARTNERS LTD,BS1 5UE,,5100039712,21045
,06/09/2018,HMRC,Telephone Support,HMRC,,Operational Excellence & Output Mgmt,Telephone Support,,KCOM GROUP PLC,HU1 3RE,,5100040137,175454.25
,07/09/2018,HMRC,MMG SMS and voicemail costs,HMRC,,Information Management Services,Gov Gateway RFC,,MMGRP LTD,EC1V 4PW,,5100040253,147556.77
,07/09/2018,HMRC,Disposal Seized Gds,HMRC,,Individuals & Small Business Compliance,Disposal Seized Gds,,SHRED STATION LTD,NR13 6LH,,5100040274,43440
,07/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,UK MAIL,SL1 4LZ,,5100040278,50552.82
,07/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,ROYAL MAIL,PE4 5BR,,5100040282,239247.77
,07/09/2018,HMRC,Monthly Royal Mail charges,HMRC,,Operational Excellence & Output Mgmt,Nat Pst Del Ser(VAT),,G3 WORLDWIDE (UK) LTD,UB2 5LF,,5100040294,78251.29
,07/09/2018,HMRC,Haulage Seized Goods,HMRC,,Fraud Investigation Service,Haulage Seized Goods,,ENVA NORTHERN IRELAND LTD,BT30 6LJ,,5100040337,124800
,07/09/2018,HMRC,Samplng & Analytical,HMRC,,Fraud Investigation Service,Samplng & Analytical,,EUROFINS FORENSIC SERVICES LTD,WV9 5GB,,5100040374,139549.5
,07/09/2018,HMRC,Research Services,HMRC,,Centre for Data Exploitation,Research (VAT rec),,KANTAR UK LTD,W5 1UA,,5100040452,33874
,10/09/2018,HMRC,Confidential Waste costs (August 2018),HMRC,,Estates,Document destruction,,DATA SOLUTIONS 2016 LTD,RH1 5DY,,5100040471,21713.25
,10/09/2018,HMRC,Confidential Waste costs (August 2018),HMRC,,Estates,Document destruction,,DATA SOLUTIONS 2016 LTD,RH1 5DY,,5100040471,24485.16
,10/09/2018,HMRC,Consultancy - Techni,HMRC,,MTDB Transformation Programmes,Consultancy - Techni,,BAE SYSTEMS APPLIED INTELLIGENCE,GU2 7YP,,5100040478,64786.9
,10/09/2018,HMRC,Courier Services,HMRC,,Estates,Next Day Del. Closed,,TNT UK LTD,BL0 9AR,,5100040527,199969.82
,10/09/2018,HMRC,Valuation Services,HMRC,,Risk & Intelligence,Valuation Services,,VALUATION OFFICE AGENCY,W1D 5BU,,5100040634,629681.33
,10/09/2018,HMRC,Soft Licen Integral,HMRC,,Information Management Services,Soft Licen Integral,,IBM UNITED KINGDOM LTD,PO6 3AU,,5100040669,327234.76
,11/09/2018,HMRC,Desktop Managed Service - Switch Refresh,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100036546,101923.52
,11/09/2018,HMRC,Government Gateway Hosting Services,HMRC,,Information Management Services,Proprietry sys maint,,ATOS IT SERVICES UK LTD,WV10 6UH,,5100040732,164266.11
,11/09/2018,HMRC,System Support (Banking data services),HMRC,,Government Banking Service,System Support,,HSBC BANK PLC,E14 5HQ,,5100040982,59844
,11/09/2018,HMRC,Monthly Output Management bulk charges,HMRC,,Operational Excellence & Output Mgmt,Mail and Fulfilment,,COMMUNISIS UK LTD,NE12 8EW,,5100040999,84432.88
,11/09/2018,HMRC,Facilities Management - Soft FM costs for Lincoln Lawress Hall (July 2018),HMRC,,Estates,Maintenance (build),,COMPASS GROUP (UK) LTD,B45 9PZ,,5100041007,48749.89
,11/09/2018,HMRC,Business Rates for London Jubilee House Grd - 5th Floors (01/04/18 - 31/03/19),HMRC,,Estates,Business Rates,,LONDON BOROUGH OF NEWHAM,E16 2QU,,5100041068,469395
,11/09/2018,HMRC,Business Rates for Liverpool Graeme House Car Parking and 3rd-6th Floors (29/09/18 - 24/12/18),HMRC,,Estates,Business Rates,,LIVERPOOL CITY COUNCIL,L69 2DQ,,5100041080,20884.58
,11/09/2018,HMRC,Business Rates for Liverpool Graeme House Car Parking and 3rd-6th Floors (29/09/18 - 24/12/18),HMRC,,Estates,Business Rates,,LIVERPOOL CITY COUNCIL,L69 2DQ,,5100041080,42402.03
,11/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,AMBERLIGHT PARTNERS LTD,WC1N 1NN,,5100041096,36707.5
,11/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,ATELIER7,RH7 6EP,,5100041097,109126.98
,11/09/2018,HMRC,Professional Services relating to Legal advice,HMRC,,Estates,Legal Service Sol's,,GOWLING WLG (UK) LLP,SE1 2AU,,5100041099,11019.31
,11/09/2018,HMRC,Professional Services relating to Legal advice,HMRC,,Estates,Legal Service Sol's,,GOWLING WLG (UK) LLP,SE1 2AU,,5100041099,55120.59
,11/09/2018,HMRC,Hardware maintenance,HMRC,,Information Management Services,Hardware maintenance,,UKCLOUD LTD,SN13 0RP,,5100041131,73075.32
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041132,334135.11
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041135,6500
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041135,19393.98
,11/09/2018,HMRC,Desktop Managed Service - Switch Refresh,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041136,129165
,11/09/2018,HMRC,Court Fees,HMRC,,Debt Management,Court Fees,,THE INSOLVENCY SERVICE,B4 6FD,,5100041215,202340
,11/09/2018,HMRC,Quarterly Rent for Blackpool Ryscar House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,REAL ESTATE INCOME TRUST LIMITED,LE10 1QU,,5100041218,83025
,11/09/2018,HMRC,Quarterly Rent Correction for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,LEGAT OWEN,CH1 1RQ,,5100041219,-11443.58
,11/09/2018,HMRC,Quarterly Landlord's Service Charge Correction for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,LEGAT OWEN,CH1 1RQ,,5100041219,-6197.33
,11/09/2018,HMRC,Quarterly Rent Correction for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,LEGAT OWEN,CH1 1RQ,,5100041219,-353.93
,11/09/2018,HMRC,Quarterly Landlord's Service Charge Correction for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,LEGAT OWEN,CH1 1RQ,,5100041219,-126.48
,11/09/2018,HMRC,Quarterly Landlord's Service Charge for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,LEGAT OWEN,CH1 1RQ,,5100041219,758.86
,11/09/2018,HMRC,Quarterly Rent for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,LEGAT OWEN,CH1 1RQ,,5100041219,2123.56
,11/09/2018,HMRC,Quarterly Landlord's Service Charge for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,LEGAT OWEN,CH1 1RQ,,5100041219,37184.01
,11/09/2018,HMRC,Quarterly Rent for Bootle Litherland House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,LEGAT OWEN,CH1 1RQ,,5100041219,68661.45
,11/09/2018,HMRC,Quarterly Rent for Leeds Windsor House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,WESTMORELAND INVESTMENTS LTD,LE4 8PH,,5100041220,871.5
,11/09/2018,HMRC,Quarterly Rent for Leeds Windsor House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,WESTMORELAND INVESTMENTS LTD,LE4 8PH,,5100041220,123628.5
,11/09/2018,HMRC,Quarterly Landlord's Service Charge for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,INTU,SW1H 0BU,,5100041221,150.04
,11/09/2018,HMRC,Quarterly Rent for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,INTU,SW1H 0BU,,5100041221,4161.78
,11/09/2018,HMRC,Quarterly Landlord's Service Charge for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,INTU,SW1H 0BU,,5100041221,4851.26
,11/09/2018,HMRC,Quarterly Rent for Brierley Hill Waterfront Business Park (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,INTU,SW1H 0BU,,5100041221,114746.22
,11/09/2018,HMRC,Computer Equipment a,HMRC,,Information Management Services,Computer Equipment a,,RCDTS LTD,SW1A 2BQ,,5100041223,1083437.21
,11/09/2018,HMRC,RCDTS (Rec VAT),HMRC,,Information Management Services,RCDTS (Rec VAT),,RCDTS LTD,SW1A 2BQ,,5100041223,7312040.14
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041224,102918.62
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041226,186550.7
,11/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041227,23523.57
,11/09/2018,HMRC,Govt dept services,HMRC,,Change Portfolio,Govt dept services,,NATIONAL SAVINGS & INVESTMENTS,SW1V 2QX,,5100041229,602484.59
,12/09/2018,HMRC,Perpetual software licence and support and maintenance,HMRC,,Information Management Services,Soft Licen Off shelf,,SOFTCAT LTD,SL7 1LW,,5100041420,1568894.33
,12/09/2018,HMRC,Credit Reference Agency charges used in compliance activities for the detection and prevention of fraud,HMRC,,Benefits & Credits Delivery,Data Purchases,,INTEGRATED DEBT SERVICES LTD T/AS,LS1 4AP,,5100041452,70099.15
,12/09/2018,HMRC,Govt dept services,HMRC,,CS Transformation Programmes,Govt dept services,,NATIONAL SAVINGS & INVESTMENTS,SW1V 2QX,,5100041471,1207160.83
,12/09/2018,HMRC,Customs Declaration IT Services - Bakare,HMRC,,Customs Transformation,Contin Labor Build,,CAPITA BUSINESS SERVICES LTD,DL1 9HN,,5100041478,25799.5
,12/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041481,41316.18
,12/09/2018,HMRC,Samplng & Analytical,HMRC,,Fraud Investigation Service,Samplng & Analytical,,IMA LTD,LS20 8BH,,5100041502,37632
,12/09/2018,HMRC,OHS,HMRC,,HR,OHS,,RIGHT CORECARE LTD T/AS WORKPLACE,IP33 1UZ,,5100041507,25110
,12/09/2018,HMRC,Employee education,HMRC,,HR,Employee education,,CSL - KPMG LLP,E14 5GL,,5100041510,201105.62
,12/09/2018,HMRC,Costs for officers stationed abroad,HMRC,,Risk & Intelligence,GovDept Serv(VAT Ex),,FOREIGN AND COMMONWEALTH OFFICE,MK10 1PX,,5100041529,50072.52
,12/09/2018,HMRC,OHS,HMRC,,HR,OHS,,RIGHT CORECARE LTD T/AS WORKPLACE,IP33 1UZ,,5100041536,25235
,12/09/2018,HMRC,Monthly Rent for London Jubilee House (01/10/18 - 31/10/18),HMRC,,Estates,Rent,,KNIGHT FRANK LLP,W1U 8AN,,5100041543,112807.9
,12/09/2018,HMRC,Security printing,HMRC,,Customs & Indirect Tax Policy,Security printing,,COMMUNISIS UK LTD,NE12 8EW,,5100041552,51738.95
,12/09/2018,HMRC,Clustering - Funded by NCSP Programme approved by Cabinet Office,HMRC,,CSIR,Contin Labor Run,,FINYX CONSULTING LTD,YO10 5DG,,5100041559,162018.84
,13/09/2018,HMRC,Desktop Managed Serv,HMRC,,Information Management Services,Desktop Managed Serv,,FUJITSU SERVICES LTD,W1U 3BW,,5100041935,121228.03
,13/09/2018,HMRC,Quarterly Rent for Sunderland Waterside House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,BERKLEY ESTATES LONDON LTD,W1U 1QY,,5100041946,2814
,13/09/2018,HMRC,Quarterly Rent for Sunderland Waterside House (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,BERKLEY ESTATES LONDON LTD,W1U 1QY,,5100041946,97686
,13/09/2018,HMRC,Quarterly Landlord's Service Charge for Croydon Ruskin Square (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,JONES LANG LASALLE LTD,NR3 1YF,,5100041958,993.17
,13/09/2018,HMRC,Quarterly Rent for Croydon Ruskin Square Main Car Park (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,JONES LANG LASALLE LTD,NR3 1YF,,5100041958,19950
,13/09/2018,HMRC,Quarterly Landlord's Service Charge for Croydon Ruskin Square (29/09/18 - 24/12/18),HMRC,,Estates,Landlord Charges,,JONES LANG LASALLE LTD,NR3 1YF,,5100041958,26594.83
,13/09/2018,HMRC,Quarterly Rent for Croydon Ruskin Square Office (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,JONES LANG LASALLE LTD,NR3 1YF,,5100041958,1853939.22
,13/09/2018,HMRC,Quarterly Rent for Croydon Ruskin Square Additional Car Parking (29/09/18 - 24/12/18),HMRC,,Estates,Rent,,JONES LANG LASALLE LTD,NR3 1YF,,5100041962,35175
,13/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,MERCATOR IT SOLUTIONS LTD,TN6 2TT,,5100042023,148070
,13/09/2018,HMRC,Facilities Management - Soft FM costs for the Newcastle Estate (August 2018),HMRC,,Estates,Non PFI serv VAT,,SERVEST GROUP LTD,IP28 6LG,,5100042149,38314.97
,13/09/2018,HMRC,Facilities Management - Soft FM costs for the Newcastle Estate (August 2018),HMRC,,Estates,Non PFI serv VAT,,SERVEST GROUP LTD,IP28 6LG,,5100042149,387406.94
,13/09/2018,HMRC,EDM Scanning and Data Input Aug-18,HMRC,,Information Management Services,Data input or prep,,EDM GROUP LTD,EC4N 1SP,,5100042150,35041.75
,13/09/2018,HMRC,Rent,HMRC,,Individuals & Small Business Compliance,Rent,,DAC Beachcroft LLP,BS1 9HS,,5100042224,30161.2
,14/09/2018,HMRC,Purchase of furniture for Birmingham City Centre House (July 2018),HMRC,,Estates,Chairs,,WAGSTAFF BROS LTD,EC1V 4JR,,5100041009,57105.33
,14/09/2018,HMRC,Debt Collection Services,HMRC,,Debt Management,Debt coll serv (DEL),,INTEGRATED DEBT SERVICES LTD T/AS,LS1 4AP,,5100042217,2074216.57
,14/09/2018,HMRC,Debt Collection Services,HMRC,,Debt Management,Debt coll serv (DEL),,INTEGRATED DEBT SERVICES LTD T/AS,LS1 4AP,,5100042218,515361.23
,14/09/2018,HMRC,Debt Collection Services,HMRC,,Debt Management,Debt coll serv (DEL),,INTEGRATED DEBT SERVICES LTD T/AS,LS1 4AP,,5100042221,26181.63
,14/09/2018,HMRC,Contractor Bespoke Software Development,HMRC,,Information Management Services,Contract Besp SW Dev,,MERCATOR IT SOLUTIONS LTD,TN6 2TT,,5100042236,58973.75
,14/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,MERCATOR IT SOLUTIONS LTD,TN6 2TT,,5100042237,193865
,14/09/2018,HMRC,Contractor software development,HMRC,,Digital,Contin Labor Build,,MERCATOR IT SOLUTIONS LTD,TN6 2TT,,5100042238,140987.5
,14/09/2018,HMRC,Quarterly Rent for Leeds Munroe Court (24/10/18 - 24/12/18),HMRC,,Estates,Rent,,MUNROE K,WC2E 9DH,,5100042252,2429.35
