F2,F3,ID:GO:0014069      Name:postsynaptic density,F4
,,C=186; O=67; E=21.62; R=3.1; PValue=0e+00; FDR=0e+00,
Gene Symbol,Gene Name,userid,
RGS14,regulator of G-protein signaling 14,RGS14,10636
LZTS1,leucine zipper tumor suppressor 1,LZTS1,11178
SYNPO,synaptopodin,SYNPO,11346
ADORA1,adenosine A1 receptor,ADORA1,134
ADORA2A,adenosine A2a receptor,ADORA2A,135
CTNNA2,catenin alpha 2,CTNNA2,1496
DAB1,"DAB1, reelin adaptor protein",DAB1,1600
DLG2,discs large MAGUK scaffold protein 2,DLG2,1740
DLG4,discs large MAGUK scaffold protein 4,DLG4,1742
DRD2,dopamine receptor D2,DRD2,1813
DRP2,dystrophin related protein 2,DRP2,1821
NLGN4Y,"neuroligin 4, Y-linked",NLGN4Y,22829
CNKSR2,connector enhancer of kinase suppressor of Ras 2,CNKSR2,22866
NLGN1,neuroligin 1,NLGN1,22871
SORCS3,sortilin related VPS10 domain containing receptor 3,SORCS3,22986
IGSF9B,immunoglobulin superfamily member 9B,IGSF9B,22997
EPB41L3,erythrocyte membrane protein band 4.1 like 3,EPB41L3,23136
SYT11,synaptotagmin 11,SYT11,23208
ARC,activity regulated cytoskeleton associated protein,ARC,23237
MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2,MAPK8IP2,23542
GAP43,growth associated protein 43,GAP43,2596
CACNG5,calcium voltage-gated channel auxiliary subunit gamma 5,CACNG5,27091
PCLO,piccolo presynaptic cytomatrix protein,PCLO,27445
GPER1,G protein-coupled estrogen receptor 1,GPER1,2852
GRIA1,glutamate ionotropic receptor AMPA type subunit 1,GRIA1,2890
GRIK2,glutamate ionotropic receptor kainate type subunit 2,GRIK2,2898
GRIK5,glutamate ionotropic receptor kainate type subunit 5,GRIK5,2901
GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,GRIN2A,2903
GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,GRIN2C,2905
GRM1,glutamate metabotropic receptor 1,GRM1,2911
GRM3,glutamate metabotropic receptor 3,GRM3,2913
GRM5,glutamate metabotropic receptor 5,GRM5,2915
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",ITPR1,3708
KCNH1,potassium voltage-gated channel subfamily H member 1,KCNH1,3756
LRP4,LDL receptor related protein 4,LRP4,4038
MAP1B,microtubule associated protein 1B,MAP1B,4131
NEFH,neurofilament heavy,NEFH,4744
NTRK2,neurotrophic receptor tyrosine kinase 2,NTRK2,4915
PALM,paralemmin,PALM,5064
SHANK1,SH3 and multiple ankyrin repeat domains 1,SHANK1,50944
PDE4B,phosphodiesterase 4B,PDE4B,5142
PRKCG,protein kinase C gamma,PRKCG,5582
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B,ANKS1B,56899
NLGN4X,"neuroligin 4, X-linked",NLGN4X,57502
LRFN1,leucine rich repeat and fibronectin type III domain containing 1,LRFN1,57622
DLGAP3,DLG associated protein 3,DLGAP3,58512
CACNG8,calcium voltage-gated channel auxiliary subunit gamma 8,CACNG8,59283
CLSTN2,calsyntenin 2,CLSTN2,64084
CPEB1,cytoplasmic polyadenylation element binding protein 1,CPEB1,64506
SPOCK1,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1",SPOCK1,6695
SYN1,synapsin I,SYN1,6853
CACNA1C,calcium voltage-gated channel subunit alpha1 C,CACNA1C,775
SYNDIG1,synapse differentiation inducing 1,SYNDIG1,79953
SRCIN1,SRC kinase signaling inhibitor 1,SRCIN1,80725
CAMK2A,calcium/calmodulin dependent protein kinase II alpha,CAMK2A,815
NETO1,neuropilin and tolloid like 1,NETO1,81832
SYN3,synapsin III,SYN3,8224
ITGA8,integrin subunit alpha 8,ITGA8,8516
MPDZ,multiple PDZ domain crumbs cell polarity complex component,MPDZ,8777
LIN7A,"lin-7 homolog A, crumbs cell polarity complex component",LIN7A,8825
BSN,bassoon presynaptic cytomatrix protein,BSN,8927
KALRN,"kalirin, RhoGEF kinase",KALRN,8997
DCLK1,doublecortin like kinase 1,DCLK1,9201
DLGAP2,DLG associated protein 2,DLGAP2,9228
DLGAP1,DLG associated protein 1,DLGAP1,9229
CABP1,calcium binding protein 1,CABP1,9478
MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2",MAGI2,9863
