Cp,H,S,T
0.171556,0.187805,0.045847,5
0.801538,2.37627,0.325786,10
6.7989,32.9941,2.2215,20
21.2094,167.842,7.49186,30
39.5968,469.82,16.0526,40
59.9057,966.177,27.0442,50
111.062,3113.7,61.1709,75
154.253,6447.5,99.2364,100
191.552,10777.6,137.731,125
226.353,16005.2,175.759,150
259.188,22079.1,213.146,175
289.447,28943.1,249.763,200
316.603,36525.5,285.455,225
340.498,44746,320.077,250
361.264,53524.2,353.528,275
377.954,62085.1,383.408,298.15
379.191,62785.5,385.75,300
394.626,72463,416.726,325
