February 11 2017,Created as New Dataset,Sample 022 By Administrator Date Saturday
,,
,4000,98.78
,3999,98.79
,3998,98.78
,3997,98.78
,3996,98.78
,3995,98.77
,3994,98.77
,3993,98.77
,3992,98.76
,3991,98.76
,3990,98.76
,3989,98.77
,3988,98.77
,3987,98.77
,3986,98.77
,3985,98.77
,3984,98.76
,3983,98.76
,3982,98.76
,3981,98.76
,3980,98.77
,3979,98.77
,3978,98.77
,3977,98.77
,3976,98.77
,3975,98.76
,3974,98.76
,3973,98.75
,3972,98.75
,3971,98.75
,3970,98.76
,3969,98.76
,3968,98.76
,3967,98.76
,3966,98.75
,3965,98.75
,3964,98.75
,3963,98.75
,3962,98.75
,3961,98.76
,3960,98.76
,3959,98.76
,3958,98.76
,3957,98.76
,3956,98.76
,3955,98.76
,3954,98.75
,3953,98.75
,3952,98.74
,3951,98.74
,3950,98.74
,3949,98.74
,3948,98.75
,3947,98.75
,3946,98.73
,3945,98.72
,3944,98.7
,3943,98.7
,3942,98.71
,3941,98.72
,3940,98.73
,3939,98.74
,3938,98.75
,3937,98.75
,3936,98.75
,3935,98.75
,3934,98.74
,3933,98.74
,3932,98.74
,3931,98.73
,3930,98.72
,3929,98.71
,3928,98.7
,3927,98.69
,3926,98.7
,3925,98.71
,3924,98.72
,3923,98.73
,3922,98.73
,3921,98.74
,3920,98.76
,3919,98.78
,3918,98.77
,3917,98.76
,3916,98.74
,3915,98.74
,3914,98.74
,3913,98.74
,3912,98.75
,3911,98.76
,3910,98.76
,3909,98.75
,3908,98.74
,3907,98.75
,3906,98.78
,3905,98.82
,3904,98.85
,3903,98.84
,3902,98.81
,3901,98.78
,3900,98.76
,3899,98.75
,3898,98.74
,3897,98.74
,3896,98.74
,3895,98.75
,3894,98.77
,3893,98.78
,3892,98.79
,3891,98.79
,3890,98.79
,3889,98.78
,3888,98.75
,3887,98.74
,3886,98.76
,3885,98.77
,3884,98.74
,3883,98.7
,3882,98.66
,3881,98.67
,3880,98.71
,3879,98.74
,3878,98.74
,3877,98.71
,3876,98.69
,3875,98.69
,3874,98.71
,3873,98.71
,3872,98.7
,3871,98.69
,3870,98.72
,3869,98.75
,3868,98.76
,3867,98.75
,3866,98.76
,3865,98.78
,3864,98.79
,3863,98.78
,3862,98.77
,3861,98.77
,3860,98.78
,3859,98.79
,3858,98.8
,3857,98.81
,3856,98.82
,3855,98.83
,3854,98.83
,3853,98.81
,3852,98.78
,3851,98.75
,3850,98.74
,3849,98.75
,3848,98.76
,3847,98.77
,3846,98.77
,3845,98.76
,3844,98.75
,3843,98.74
,3842,98.73
,3841,98.72
,3840,98.73
,3839,98.74
,3838,98.75
,3837,98.76
,3836,98.77
,3835,98.77
,3834,98.76
,3833,98.76
,3832,98.77
,3831,98.77
,3830,98.76
,3829,98.75
,3828,98.74
,3827,98.75
,3826,98.77
,3825,98.77
,3824,98.75
,3823,98.72
,3822,98.73
,3821,98.75
,3820,98.75
,3819,98.72
,3818,98.67
,3817,98.66
,3816,98.69
,3815,98.74
,3814,98.76
,3813,98.75
,3812,98.76
,3811,98.77
,3810,98.77
,3809,98.77
,3808,98.77
,3807,98.79
,3806,98.79
,3805,98.76
,3804,98.7
,3803,98.67
,3802,98.69
,3801,98.71
,3800,98.71
,3799,98.7
,3798,98.69
,3797,98.7
,3796,98.72
,3795,98.74
,3794,98.74
,3793,98.74
,3792,98.74
,3791,98.74
,3790,98.74
,3789,98.73
,3788,98.73
,3787,98.73
,3786,98.72
,3785,98.72
,3784,98.72
,3783,98.7
,3782,98.68
,3781,98.67
,3780,98.68
,3779,98.71
,3778,98.72
,3777,98.73
,3776,98.73
,3775,98.74
,3774,98.75
,3773,98.75
,3772,98.74
,3771,98.74
,3770,98.75
,3769,98.75
,3768,98.74
,3767,98.73
,3766,98.73
,3765,98.74
,3764,98.73
,3763,98.72
,3762,98.7
,3761,98.7
,3760,98.72
,3759,98.72
,3758,98.71
,3757,98.7
,3756,98.69
,3755,98.68
,3754,98.69
,3753,98.75
,3752,98.86
,3751,98.92
,3750,98.93
,3749,98.93
,3748,98.92
,3747,98.89
,3746,98.83
,3745,98.81
,3744,98.81
,3743,98.8
,3742,98.77
,3741,98.75
,3740,98.75
,3739,98.76
,3738,98.76
,3737,98.75
,3736,98.74
,3735,98.73
,3734,98.72
,3733,98.74
,3732,98.76
,3731,98.77
,3730,98.77
,3729,98.75
,3728,98.74
,3727,98.74
,3726,98.72
,3725,98.69
,3724,98.65
,3723,98.64
,3722,98.65
,3721,98.67
,3720,98.69
,3719,98.71
,3718,98.73
,3717,98.73
,3716,98.73
,3715,98.71
,3714,98.7
,3713,98.72
,3712,98.75
,3711,98.73
,3710,98.7
,3709,98.69
,3708,98.7
,3707,98.7
,3706,98.71
,3705,98.7
,3704,98.67
,3703,98.65
,3702,98.64
,3701,98.65
,3700,98.66
,3699,98.67
,3698,98.67
,3697,98.68
,3696,98.68
,3695,98.68
,3694,98.66
,3693,98.64
,3692,98.64
,3691,98.64
,3690,98.62
,3689,98.6
,3688,98.6
,3687,98.62
,3686,98.63
,3685,98.63
,3684,98.62
,3683,98.61
,3682,98.6
,3681,98.58
,3680,98.56
,3679,98.53
,3678,98.48
,3677,98.44
,3676,98.43
,3675,98.47
,3674,98.51
,3673,98.52
,3672,98.51
,3671,98.51
,3670,98.51
,3669,98.5
,3668,98.5
,3667,98.5
,3666,98.5
,3665,98.5
,3664,98.51
,3663,98.51
,3662,98.51
,3661,98.51
,3660,98.5
,3659,98.49
,3658,98.48
,3657,98.48
,3656,98.47
,3655,98.45
,3654,98.4
,3653,98.33
,3652,98.3
,3651,98.34
,3650,98.37
,3649,98.3
,3648,98.22
,3647,98.2
,3646,98.23
,3645,98.26
,3644,98.28
,3643,98.28
,3642,98.28
,3641,98.26
,3640,98.25
,3639,98.24
,3638,98.23
,3637,98.22
,3636,98.21
,3635,98.2
,3634,98.2
,3633,98.21
,3632,98.22
,3631,98.22
,3630,98.24
,3629,98.23
