F9,Accx(M/Ss),Pospathx(M),Pospathy(M),Posx(M),Posy(M),Time(S),Vel(Km/H),Yaw(Rad)
,0,434.665,-103.276,433.868,-101.435,0,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.1,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.2,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.3,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.4,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.5,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.6,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.7,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.8,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,0.9,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.1,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.2,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.3,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.4,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.5,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.6,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.7,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.8,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,1.9,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.1,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.2,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.3,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.4,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.5,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.6,0,-1.162239
,0,434.665,-103.276,433.868,-101.435,2.7,0,-1.162248
,0,434.665,-103.276,433.868,-101.435,2.8,0,-1.162248
,0,434.665,-103.276,433.868,-101.435,2.9,0,-1.162244
,0,434.665,-103.276,433.868,-101.435,3,0,-1.16224
,0,434.665,-103.276,433.868,-101.435,3.1,0,-1.16224
,0,434.665,-103.276,433.868,-101.435,3.2,0,-1.162228
,0,434.665,-103.276,433.868,-101.435,3.3,0,-1.162216
,0,434.665,-103.276,433.868,-101.435,3.4,0,-1.162195
,0,434.665,-103.276,433.868,-101.435,3.5,0,-1.162166
,0,434.665,-103.276,433.868,-101.435,3.6,0,-1.162134
,0,434.665,-103.276,433.868,-101.435,3.7,0,-1.162092
,0,434.665,-103.276,433.868,-101.435,3.8,0,-1.162034
,0,434.665,-103.276,433.868,-101.435,3.9,0,-1.161964
,0.11,434.665,-103.277,433.8685,-101.436,4,0.04,-1.161885
,0.31,434.667,-103.279,433.87,-101.438,4.1,0.15,-1.161794
,0.51,434.669,-103.285,433.872,-101.4445,4.2,0.34,-1.161691
,0.71,434.675,-103.297,433.878,-101.4565,4.3,0.6,-1.161571
,0.91,434.683,-103.317,433.886,-101.476,4.4,0.92,-1.161447
,1.11,434.696,-103.345,433.8985,-101.5045,4.5,1.33,-1.161303
,1.31,434.714,-103.385,433.9165,-101.5445,4.6,1.8,-1.161142
,1.51,434.737,-103.438,433.939,-101.5975,4.7,2.34,-1.160981
,1.61,434.767,-103.505,433.9685,-101.6645,4.8,2.92,-1.160799
,1.76,434.803,-103.587,434.0045,-101.747,4.9,3.55,-1.160617
,1.82,434.847,-103.686,434.048,-101.846,5,4.21,-1.160423
,1.88,434.899,-103.802,434.099,-101.962,5.1,4.88,-1.160221
,1.94,434.958,-103.935,434.1575,-102.0955,5.2,5.58,-1.160006
,2,435.025,-104.087,434.224,-102.2475,5.3,6.3,-1.159787
,2.07,435.1,-104.257,434.2985,-102.418,5.4,7.05,-1.159555
,2.14,435.184,-104.446,434.382,-102.6075,5.5,7.82,-1.159324
,2.2,435.277,-104.656,434.474,-102.8175,5.6,8.61,-1.159096
,2.22,435.378,-104.885,434.575,-103.047,5.7,9.41,-1.15886
,2.22,435.489,-105.135,434.685,-103.2975,5.8,10.21,-1.15862
,2.22,435.609,-105.406,434.804,-103.5685,5.9,11.01,-1.158388
,2.21,435.737,-105.697,434.932,-103.8595,6,11.8,-1.158148
,2.2,435.875,-106.008,435.069,-104.171,6.1,12.6,-1.157917
,2.2,436.021,-106.339,435.215,-104.502,6.2,13.39,-1.157693
,2.19,436.176,-106.69,435.3695,-104.8535,6.3,14.17,-1.15747
,2.18,436.34,-107.062,435.533,-105.2255,6.4,14.96,-1.157942
,2.17,436.513,-107.453,435.7055,-105.617,6.5,15.74,-1.159524
,2.16,436.695,-107.865,435.887,-106.0285,6.6,16.52,-1.161969
,2.16,436.885,-108.296,436.077,-106.46,6.7,17.3,-1.163604
,2.15,437.085,-108.747,436.2765,-106.911,6.8,18.07,-1.164473
,2.14,437.292,-109.218,436.4835,-107.382,6.9,18.84,-1.164726
,2.13,437.509,-109.708,436.7,-107.872,7,19.61,-1.164482
,2.12,437.734,-110.218,436.925,-108.382,7.1,20.37,-1.163222
,2.11,437.967,-110.747,437.158,-108.9115,7.2,21.13,-1.159033
,2.09,438.21,-111.296,437.4005,-109.4605,7.3,21.89,-1.15253
,2.07,438.46,-111.863,437.6505,-110.0275,7.4,22.63,-1.144178
,2.06,438.719,-112.45,437.9095,-110.6145,7.5,23.37,-1.134367
,2.04,438.986,-113.055,438.1765,-111.22,7.6,24.1,-1.121604
,2.02,439.202,-113.727,438.4265,-111.877,7.7,24.83,-1.106607
,2,439.378,-114.455,438.6575,-112.583,7.8,25.55,-1.089925
,1.98,439.565,-115.202,438.8875,-113.3135,7.9,26.27,-1.071976
,1.96,439.809,-115.635,439.09,-113.762,8,26.97,-1.052417
,1.95,440.121,-116.216,439.363,-114.359,8.1,27.67,-1.031603
,1.93,440.438,-116.814,439.6485,-114.97,8.2,28.37,-1.00989
,1.91,440.761,-117.427,439.946,-115.594,8.3,29.06,-0.987514
,1.89,441.144,-118.018,440.279,-116.2085,8.4,29.74,-0.965026
,1.88,441.724,-118.495,440.7175,-116.7595,8.5,30.41,-0.94248
,1.86,442.301,-118.986,441.1875,-117.3175,8.6,31.08,-0.919896
,1.85,442.881,-119.492,441.6855,-117.881,8.7,31.75,-0.897689
,1.84,443.468,-120.01,442.2095,-118.4485,8.8,32.41,-0.87705
,1.82,444.233,-120.436,442.8535,-118.979,8.9,33.07,-0.857498
,1.81,444.998,-120.878,443.533,-119.5075,9,33.72,-0.838684
,1.8,445.768,-121.336,444.242,-120.034,9.1,34.37,-0.820969
,1.78,446.546,-121.809,444.976,-120.5605,9.2,35.01,-0.80345
,1.77,447.41,-122.259,445.787,-121.08,9.3,35.65,-0.785963
,1.76,448.292,-122.72,446.63,-121.597,9.4,36.28,-0.769895
,1.75,449.184,-123.195,447.495,-122.113,9.5,36.91,-0.755009
,1.73,450.088,-123.682,448.38,-122.6305,9.6,37.53,-0.741027
,1.72,451.023,-124.241,449.3115,-123.195,9.7,38.15,-0.727747
,1.71,451.975,-124.815,450.2615,-123.7715,9.8,38.76,-0.715604
,1.7,452.941,-125.397,451.2265,-124.3555,9.9,39.38,-0.706502
,1.68,453.899,-126.031,452.195,-124.9725,10,39.98,-0.699784
