Actual Pay Ceiling (£),Actual Pay Floor (£),Contact E-mail,Contact Phone,Grade (or equivalent),Job Title,Job/Team Function,Name,Notes,Organisation,Parent Department,Professional/Occupational Group,Salary Cost of Reports (£),Unit,FTE,Post Unique Reference,Reports to Senior Post
"169,999","165,000",enquiries@trade.gov.uk,020 7215 5000,SCS4,Permanent Secretary,Permanent Secretary,Antonia Romeo,,Department for International Trade,Department for International Trade,Policy,"£1,008,439.00",DIT,1,1,
"269,999","265,000",enquiries@trade.gov.uk,020 7215 5000,SCS4,Chief Trade Negotiation Adviser & Second Permanent Secretary,Chief Trade Negotiation Adviser & Second Permanent Secretary,Crawford Falconer,,Department for International Trade,Department for International Trade,Policy,"£435,430.00",Strategy,1,2,1
"144,999","140,000",enquiries@trade.gov.uk,020 7215 5000,SCS3,Chief Operating Officer,Chief Operating Officer,Catherine Vaughan,,Department for International Trade,Department for International Trade,Finance,"£618,091.00",Corporate Services,1,3,1
"139,999","135,000",enquiries@trade.gov.uk,020 7215 5000,SCS3,Director General Trade Policy Group,Director General Trade Policy Group,John Alty,,Department for International Trade,Department for International Trade,Other,"£1,558,948.00",Trade Policy Group,1,4,2
"144,999","140,000",enquiries@trade.gov.uk,020 7215 5000,SCS3,Director General Exports & Investment,Director General Exports & Investment,John Mahon,,Department for International Trade,Department for International Trade,International Trade,"£952,953.00",GTI,1,5,1
"104,999","100,000",enquiries@trade.gov.uk,020 7215 5000,SCS3,Director General Global Trade & Investment Policy and Programmes,Director General Global Trade & Investment Policy and Programmes,Darren Tierney,,Department for International Trade,Department for International Trade,Policy,"£2,421,440.20",Strategy,1,6,1
"144,999","140,000",enquiries@trade.gov.uk,020 7215 5000,SCS3,Director General for Investment,Director General for Investment,Mark Slaughter,,Department for International Trade,Department for International Trade,International Trade,"£120,700.00",GTI,1,136,1
"104,999","100,000",enquiries@trade.gov.uk,020 7215 5000,SCS2,Director of Campaigns and Marketing,Director of Campaigns and Marketing,Conrad Bird,,Department for International Trade,Department for International Trade,Communications,"£950,420.00",Communication and Marketing,1,7,8
"124,999","120,000",enquiries@trade.gov.uk,020 7215 5000,SCS2,Director of Communication and Marketing,Director of Communication and Marketing,Toby Orr,,Department for International Trade,Department for International Trade,Communications,"£717,895.60",Communication and Marketing,1,8,1
"94,999","90,000",enquiries@trade.gov.uk,020 7215 5000,SCS2,"Director of Digital, Data and Technology","Director of Digital, Data and Technology",Edward Pikett,,Department for International Trade,Department for International Trade,"Digital, Data and Technology","£749,319.00",Corporate Services,1,9,3
