Amount,Date,Entity,Expense Area,Expense Type,Supplier,Transaction Number
"£68,486.66",09/03/2011,HMCS,GZ999-North West Region,111620-Bailiff Fees (NOS),MARSTON GROUP,1520376
"£106,077.69",09/03/2011,HMCS,GZ999-North West Region,111620-Bailiff Fees (NOS),MARSTON GROUP,1520376
"£64,048.54",16/03/2011,HMCS,CZ999-South East Region,111620-Bailiff Fees (NOS),MARSTON GROUP,1529174
"£90,071.72",16/03/2011,HMCS,CZ999-South East Region,111620-Bailiff Fees (NOS),MARSTON GROUP,1529174
"£4,814,973.35",11/03/2011,HMCS,AR999-HMCS Central Budgets,211322-Judicial Superannuation Lower,JUDICIAL PENSIONS SCHEME,1523461
"£29,160.00",09/03/2011,HMCS,AV329-CP-Mag. Courts Operational Bus.sys,212605-Agency Staff - Professional & Other,NES IT LTD,1520463
"£41,408.29",30/03/2011,HMCS,HZ999-North East and Yorkshire,221310-Hire of office/courtr'm/related eqpt,NEOPOST LTD,1547604
"£49,272.94",09/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222112-Conveyancing,BEACHCROFT,1519790
"£25,512.05",09/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222112-Conveyancing,MICHELMORES SOLICITORS,1520402
"£2,219,181.00",22/03/2011,HMCS,GZ999-North West Region,222112-Conveyancing,GARTSIDE LTD,1533540
"£25,316.24",25/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222112-Conveyancing,MICHELMORES SOLICITORS,1540328
"£39,464.95",25/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222112-Conveyancing,BEACHCROFT,1539836
"£68,529.74",30/03/2011,HMCS,IZ999-RCJ Group,222117-Dilapidations,JAMES HARE LTD (PROPERTIES DIV),1547305
"£35,140.66",30/03/2011,HMCS,HZ999-North East and Yorkshire,222131-Building Improvement Works,DH FATHERS LTD,1546978
"£27,180.00",30/03/2011,HMCS,HZ999-North East and Yorkshire,222131-Building Improvement Works,ASSURED FIRE & SECURITY LTD,1546638
"£29,550.00",11/03/2011,HMCS,CZ999-South East Region,222132-Building Maintenance Works,IOM CONSULTING LTD,335790
"£33,399.60",31/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222132-Building Maintenance Works,CROWN FLOORING LTD,1548320
"£25,080.00",04/03/2011,HMCS,GZ999-North West Region,222133-Building Project Fees,HURD ROLLAND PARTNERSHIP,1514810
"£25,104.00",23/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222133-Building Project Fees,WHEELERS,1538251
"£28,430.70",23/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222133-Building Project Fees,WHEELERS,1538251
"£25,000.00",31/03/2011,HMCS,FZ999-Midlands Region,222134-Other Building Project Costs,J G A GRACEY,1548450
"£54,835.64",09/03/2011,HMCS,HZ999-North East and Yorkshire,222136-CIS Labour Build Improvements Works,HOWARD RUSSEL CONSTRUCTION LTD,1520209
"£117,051.98",23/03/2011,HMCS,BZ999-London Region,222136-CIS Labour Build Improvements Works,SYKES & SON LTD,1538133
"£29,709.60",31/03/2011,HMCS,FZ999-Midlands Region,222136-CIS Labour Build Improvements Works,SITEC INTERIORS LTD,1549373
"£70,197.91",09/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,222137-CIS Labour Build Maintenance Works,C WOOD & SON (LUTON) LTD,1519877
"£103,300.80",11/03/2011,HMCS,CZ999-South East Region,222137-CIS Labour Build Maintenance Works,EUROPEAN ASBESTOS SERVICES,1523322
"£43,736.40",16/03/2011,HMCS,HZ999-North East and Yorkshire,222137-CIS Labour Build Maintenance Works,FIBRE ENVIRONMENTAL SERVICES LTD,1528860
"£34,455.05",30/03/2011,HMCS,BZ999-London Region,222137-CIS Labour Build Maintenance Works,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562
"£69,560.40",31/03/2011,HMCS,CZ999-South East Region,222137-CIS Labour Build Maintenance Works,EUROPEAN ASBESTOS SERVICES,1548368
"£28,723.70",31/03/2011,HMCS,CZ999-South East Region,222137-CIS Labour Build Maintenance Works,BAILEY MAINTENANCE LTD,1548229
"£46,512.86",02/03/2011,HMCS,DZ999-South West Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1511509
"£56,828.00",02/03/2011,HMCS,GZ999-North West Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1511509
"£41,026.68",04/03/2011,HMCS,EZ999-Wales Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1514529
"£40,987.75",09/03/2011,HMCS,IZ999-RCJ Group,222142-Utility - Electricity,EDF ENERGY LTD,1520033
"£58,630.27",16/03/2011,HMCS,GZ999-North West Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1528592
"£80,013.26",23/03/2011,HMCS,CZ999-South East Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1537185
"£40,987.76",30/03/2011,HMCS,IZ999-RCJ Group,222142-Utility - Electricity,EDF ENERGY LTD,1547007
"£26,734.65",30/03/2011,HMCS,BZ999-London Region,222142-Utility - Electricity,BRITISH GAS BUSINESS,1546748
"£45,062.47",30/03/2011,HMCS,IZ999-RCJ Group,222142-Utility - Electricity,EDF ENERGY LTD,1547007
"£33,614.68",30/03/2011,HMCS,EZ999-Wales Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£56,913.35",30/03/2011,HMCS,DZ999-South West Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£100,331.64",30/03/2011,HMCS,DZ999-South West Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£130,934.31",30/03/2011,HMCS,HZ999-North East and Yorkshire,222143-Utility - Gas,CORONA ENERGY,1546901
"£174,562.85",30/03/2011,HMCS,BZ999-London Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£106,127.63",30/03/2011,HMCS,BZ999-London Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£85,575.54",30/03/2011,HMCS,GZ999-North West Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£70,955.04",30/03/2011,HMCS,HZ999-North East and Yorkshire,222143-Utility - Gas,CORONA ENERGY,1546901
"£138,725.09",30/03/2011,HMCS,GZ999-North West Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£143,241.97",30/03/2011,HMCS,FZ999-Midlands Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£45,618.02",30/03/2011,HMCS,EZ999-Wales Region,222143-Utility - Gas,CORONA ENERGY,1546901
"£87,815.10",31/03/2011,HMCS,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315
"£180,391.48",31/03/2011,HMCS,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315
"£30,082.00",04/03/2011,HMCS,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1514935
"£307,334.88",11/03/2011,HMCS,DZ999-South West Region,222151-Security,MITIE SECURITY LTD,1523562
"£576,205.82",16/03/2011,HMCS,CZ999-South East Region,222151-Security,MITIE SECURITY LTD,1529230
"£189,050.90",16/03/2011,HMCS,EZ999-Wales Region,222151-Security,MITIE SECURITY LTD,1529230
"£436,527.14",16/03/2011,HMCS,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1529230
"£423,005.66",16/03/2011,HMCS,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1529230
"£433,429.12",16/03/2011,HMCS,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1529230
"£35,710.84",18/03/2011,HMCS,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1531852
"£766,709.10",23/03/2011,HMCS,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1537794
