F3,F4,F5,F1,F2,F6,F7,F8
di4-aN.wav,di,a,1,1,4,4,0.959736854
di1-aN.wav,di,a,1,2,1,1,1.031964750
mi2-iN.wav,mi,i,1,3,2,2,0.795808894
ma3-iN.wav,ma,i,1,4,3,3,0.921867746
ma1-iN.wav,ma,i,1,5,1,1,0.708209962
bu3-aN.wav,bu,a,1,6,3,1,0.839849885
mi3-aN.wav,mi,a,1,7,3,3,0.836332723
bu4-aN.wav,bu,a,1,8,4,4,0.768151565
ma1-aN.wav,ma,a,1,9,1,1,1.904779352
di2-iN.wav,di,i,1,10,2,2,0.826085707
bu1-aN.wav,bu,a,1,11,1,1,0.824011878
ma4-iN.wav,ma,i,1,12,4,4,0.836874272
ma3-aN.wav,ma,a,1,13,3,3,1.339335533
lu4-aN.wav,lu,a,1,14,4,4,1.402382406
ma2-aN.wav,ma,a,1,15,2,2,0.776265568
bu2-iN.wav,bu,i,1,16,2,2,0.911360732
lu2-aN.wav,lu,a,1,17,2,2,0.825701183
lu1-iN.wav,lu,i,1,18,1,1,1.094868624
lu3-iN.wav,lu,i,1,19,3,3,0.730181537
mi3-iN.wav,mi,i,1,20,3,3,0.635417255
bu3-iN.wav,bu,i,1,21,3,3,0.601282203
di3-iN.wav,di,i,1,22,3,3,0.528851440
lu3-aN.wav,lu,a,1,23,3,3,0.620084192
mi2-aN.wav,mi,a,1,24,2,2,0.737456018
bu1-iN.wav,bu,i,1,25,1,1,0.738427591
di3-aN.wav,di,a,1,26,3,3,0.730869164
lu2-iN.wav,lu,i,1,27,2,2,0.764767823
mi4-aN.wav,mi,a,1,28,4,4,0.844258568
bu4-iN.wav,bu,i,1,29,4,4,1.152450741
mi1-aN.wav,mi,a,1,30,1,2,1.486460413
di1-iN.wav,di,i,1,31,1,1,0.672779708
di4-iN.wav,di,i,1,32,4,4,0.765250189
di2-aN.wav,di,a,1,33,2,2,0.814067966
lu4-iN.wav,lu,i,1,34,4,4,0.972084383
mi1-iN.wav,mi,i,1,35,1,1,1.684204584
ma2-iN.wav,ma,i,1,36,2,2,2.117885666
mi4-iN.wav,mi,i,1,37,4,4,0.776162937
bu2-aN.wav,bu,a,1,38,2,2,1.103586438
lu1-aN.wav,lu,a,1,39,1,1,0.876083740
ma4-aN.wav,ma,a,1,40,4,4,0.749832968
bu2-aN.wav,bu,a,2,41,2,2,1.854227112
ma3-aN.wav,ma,a,2,42,3,3,0.746408174
bu3-aN.wav,bu,a,2,43,3,3,0.947468009
lu3-aN.wav,lu,a,2,44,3,3,0.852147467
di2-iN.wav,di,i,2,45,2,2,0.817490366
ma4-iN.wav,ma,i,2,46,4,4,0.711449337
bu4-iN.wav,bu,i,2,47,4,4,0.763166438
ma4-aN.wav,ma,a,2,48,4,4,0.647568074
ma1-iN.wav,ma,i,2,49,1,1,0.788719491
di4-iN.wav,di,i,2,50,4,4,0.635963251
di1-iN.wav,di,i,2,51,1,1,0.721692589
lu2-iN.wav,lu,i,2,52,2,2,0.769122796
ma3-iN.wav,ma,i,2,53,3,3,0.874682828
mi4-aN.wav,mi,a,2,54,4,4,0.861999696
lu4-aN.wav,lu,a,2,55,4,4,1.466889376
mi1-aN.wav,mi,a,2,56,1,1,0.743216009
bu4-aN.wav,bu,a,2,57,4,4,0.927463870
lu3-iN.wav,lu,i,2,58,3,3,0.648359701
di3-aN.wav,di,a,2,59,3,3,0.678180490
ma2-aN.wav,ma,a,2,60,2,2,0.722369269
mi1-iN.wav,mi,i,2,61,1,1,0.835321808
ma1-aN.wav,ma,a,2,62,1,1,1.788266888
di3-iN.wav,di,i,2,63,3,3,0.762767204
bu3-iN.wav,bu,i,2,64,3,3,0.658530770
bu1-iN.wav,bu,i,2,65,1,1,0.853307881
bu2-iN.wav,bu,i,2,66,2,2,0.641806031
lu1-aN.wav,lu,a,2,67,1,1,0.709166825
di4-aN.wav,di,a,2,68,4,4,0.719919811
di1-aN.wav,di,a,2,69,1,1,0.706192922
mi4-iN.wav,mi,i,2,70,4,4,0.732295392
mi3-aN.wav,mi,a,2,71,3,3,0.663438923
di2-aN.wav,di,a,2,72,2,2,0.658001194
mi2-aN.wav,mi,a,2,73,2,2,0.808141029
bu1-aN.wav,bu,a,2,74,1,1,0.782213373
lu1-iN.wav,lu,i,2,75,1,1,0.775188627
lu2-aN.wav,lu,a,2,76,2,2,0.838595051
ma2-iN.wav,ma,i,2,77,2,2,0.875564769
lu4-iN.wav,lu,i,2,78,4,4,0.805409335
mi2-iN.wav,mi,i,2,79,2,2,0.845099458
mi3-iN.wav,mi,i,2,80,3,3,0.801293150
mi1-aN.wav,mi,a,3,81,1,2,0.617314867
lu4-iN.wav,lu,i,3,82,4,4,0.749805258
ma2-iN.wav,ma,i,3,83,2,2,0.925399619
mi2-iN.wav,mi,i,3,84,2,2,0.903070205
di1-iN.wav,di,i,3,85,1,1,0.971116231
bu4-aN.wav,bu,a,3,86,4,4,1.099341280
bu1-aN.wav,bu,a,3,87,1,1,1.109715900
ma4-aN.wav,ma,a,3,88,4,4,0.871362032
lu3-aN.wav,lu,a,3,89,3,3,0.707761123
lu2-aN.wav,lu,a,3,90,2,2,1.428449640
bu3-aN.wav,bu,a,3,91,3,3,0.771808648
bu3-iN.wav,bu,i,3,92,3,3,0.678466146
lu4-aN.wav,lu,a,3,93,4,4,0.831035255
lu1-aN.wav,lu,a,3,94,1,1,0.989144383
mi4-aN.wav,mi,a,3,95,4,4,0.820996239
ma1-iN.wav,ma,i,3,96,1,1,1.178529264
di3-iN.wav,di,i,3,97,3,3,0.705694136
bu2-iN.wav,bu,i,3,98,2,2,1.131485976
lu1-iN.wav,lu,i,3,99,1,1,1.606080199
di4-aN.wav,di,a,3,100,4,4,0.817738048
di2-aN.wav,di,a,3,101,2,2,0.814036492
ma1-aN.wav,ma,a,3,102,1,1,0.795916315
ma4-iN.wav,ma,i,3,103,4,4,0.772287935
bu2-aN.wav,bu,a,3,104,2,2,0.932795547
ma2-aN.wav,ma,a,3,105,2,3,2.027699066
ma3-iN.wav,ma,i,3,106,3,3,0.657823642
bu4-iN.wav,bu,i,3,107,4,4,0.676604079
mi1-iN.wav,mi,i,3,108,1,1,0.823681064
di4-iN.wav,di,i,3,109,4,4,0.853680089
mi3-aN.wav,mi,a,3,110,3,3,0.746774224
di1-aN.wav,di,a,3,111,1,1,0.834451155
lu2-iN.wav,lu,i,3,112,2,2,0.722328217
mi2-aN.wav,mi,a,3,113,2,2,0.723133186
mi3-iN.wav,mi,i,3,114,3,3,0.699214702
lu3-iN.wav,lu,i,3,115,3,3,0.605682675
mi4-iN.wav,mi,i,3,116,4,4,1.187140685
ma3-aN.wav,ma,a,3,117,3,3,0.769627056
di2-iN.wav,di,i,3,118,2,2,0.721289934
bu1-iN.wav,bu,i,3,119,1,1,0.731258136
di3-aN.wav,di,a,3,120,3,2,0.746981538
lu1-aN.wav,lu,a,4,121,1,1,0.909338903
di4-aN.wav,di,a,4,122,4,4,0.800357840
bu1-aN.wav,bu,a,4,123,1,1,0.956880977
di2-iN.wav,di,i,4,124,2,2,0.766080131
lu3-iN.wav,lu,i,4,125,3,3,0.548716686
di1-iN.wav,di,i,4,126,1,1,0.725970931
lu3-aN.wav,lu,a,4,127,3,3,0.590344139
mi2-aN.wav,mi,a,4,128,2,2,0.710065530
ma3-iN.wav,ma,i,4,129,3,3,0.911489363
di3-aN.wav,di,a,4,130,3,3,0.578775921
bu1-iN.wav,bu,i,4,131,1,1,0.642583973
bu3-iN.wav,bu,i,4,132,3,3,0.617140052
lu2-aN.wav,lu,a,4,133,2,2,1.438043581
mi3-aN.wav,mi,a,4,134,3,3,0.853230223
bu2-iN.wav,bu,i,4,135,2,2,0.937992094
mi4-aN.wav,mi,a,4,136,4,4,0.707543203
di4-iN.wav,di,i,4,137,4,4,0.756421191
ma1-iN.wav,ma,i,4,138,1,1,0.757250107
mi2-iN.wav,mi,i,4,139,2,2,0.661061649
mi1-iN.wav,mi,i,4,140,1,1,0.920102152
ma4-iN.wav,ma,i,4,141,4,4,0.847573548
ma3-aN.wav,ma,a,4,142,3,3,0.772631406
di2-aN.wav,di,a,4,143,2,1,0.947838507
lu1-iN.wav,lu,i,4,144,1,1,0.879503745
bu2-aN.wav,bu,a,4,145,2,2,0.898596864
mi4-iN.wav,mi,i,4,146,4,4,1.247098367
di3-iN.wav,di,i,4,147,3,3,0.700320380
lu2-iN.wav,lu,i,4,148,2,2,0.855665998
mi3-iN.wav,mi,i,4,149,3,3,0.684254189
ma2-aN.wav,ma,a,4,150,2,2,1.113576534
bu4-aN.wav,bu,a,4,151,4,4,1.012390976
ma2-iN.wav,ma,i,4,152,2,2,1.258618690
ma4-aN.wav,ma,a,4,153,4,4,1.173857846
lu4-aN.wav,lu,a,4,154,4,4,1.132603285
di1-aN.wav,di,a,4,155,1,1,1.063572344
bu4-iN.wav,bu,i,4,156,4,4,0.920132599
bu3-aN.wav,bu,a,4,157,3,3,0.819716431
mi1-aN.wav,mi,a,4,158,1,1,0.890403151
ma1-aN.wav,ma,a,4,159,1,1,0.789105725
lu4-iN.wav,lu,i,4,160,4,4,0.891643275
lu3-hN.wav,lu,h,5,161,3,3,1.447345707
lu2-bN.wav,lu,b,5,162,2,2,1.138449144
lu2-hN.wav,lu,h,5,163,2,2,1.503900147
di4-hN.wav,di,h,5,164,4,4,1.382316688
di3-hN.wav,di,h,5,165,3,3,0.866548641
di2-bN.wav,di,b,5,166,2,2,1.187529314
bu4-bN.wav,bu,b,5,167,4,4,1.216432241
di1-bN.wav,di,b,5,168,1,1,0.937884674
mi2-bN.wav,mi,b,5,169,2,2,0.839929937
mi3-bN.wav,mi,b,5,170,3,3,0.763313885
bu3-bN.wav,bu,b,5,171,3,3,1.327841209
lu4-hN.wav,lu,h,5,172,4,4,1.164941611
lu3-bN.wav,lu,b,5,173,3,3,0.835905778
mi4-hN.wav,mi,h,5,174,4,4,1.012785421
lu4-bN.wav,lu,b,5,175,4,4,1.049087696
di3-bN.wav,di,b,5,176,3,3,0.636278328
mi4-bN.wav,mi,b,5,177,4,4,0.846384739
ma3-bN.wav,ma,b,5,178,3,3,1.049634719
ma4-bN.wav,ma,b,5,179,4,4,0.777022300
ma1-bN.wav,ma,b,5,180,1,1,0.984157887
mi3-hN.wav,mi,h,5,181,3,3,1.317133039
mi2-hN.wav,mi,h,5,182,2,2,0.808528289
ma4-hN.wav,ma,h,5,183,4,4,1.667238321
bu4-hN.wav,bu,h,5,184,4,4,1.270055883
ma3-hN.wav,ma,h,5,185,3,3,0.748485424
lu1-bN.wav,lu,b,5,186,1,1,1.025262265
lu1-hN.wav,lu,h,5,187,1,1,0.843898676
di4-bN.wav,di,b,5,188,4,4,0.826781545
ma2-bN.wav,ma,b,5,189,2,2,1.014468226
bu1-hN.wav,bu,h,5,190,1,1,0.815059723
di2-hN.wav,di,h,5,191,2,2,0.918488109
mi1-bN.wav,mi,b,5,192,1,1,0.959758065
bu1-bN.wav,bu,b,5,193,1,1,0.909196246
di1-hN.wav,di,h,5,194,1,1,0.691676117
mi1-hN.wav,mi,h,5,195,1,1,0.658431560
bu2-bN.wav,bu,b,5,196,2,2,1.715066736
ma1-hN.wav,ma,h,5,197,1,1,0.967416728
bu2-hN.wav,bu,h,5,198,2,2,1.763887250
ma2-hN.wav,ma,h,5,199,2,2,1.022866859
bu3-hN.wav,bu,h,5,200,3,3,0.888398769
lu1-aN.wav,lu,a,6,201,1,1,0.996729836
bu2-aN.wav,bu,a,6,202,2,2,0.944653184
di3-iN.wav,di,i,6,203,3,3,0.676878104
bu3-iN.wav,bu,i,6,204,3,3,0.747278826
ma3-aN.wav,ma,a,6,205,3,3,0.822271257
mi3-aN.wav,mi,a,6,206,3,3,0.671766056
ma2-iN.wav,ma,i,6,207,2,2,0.897697133
bu4-iN.wav,bu,i,6,208,4,4,1.331096321
di4-iN.wav,di,i,6,209,4,4,0.753196526
ma2-aN.wav,ma,a,6,210,2,2,1.025007398
lu2-aN.wav,lu,a,6,211,2,2,0.807380533
ma3-iN.wav,ma,i,6,212,3,3,0.811226799
lu4-aN.wav,lu,a,6,213,4,4,0.899117545
di2-iN.wav,di,i,6,214,2,2,0.971156257
bu3-aN.wav,bu,a,6,215,3,3,0.863558317
mi4-iN.wav,mi,i,6,216,4,4,0.903460544
di4-aN.wav,di,a,6,217,4,4,0.824730979
bu1-iN.wav,bu,i,6,218,1,1,1.757368132
lu3-iN.wav,lu,i,6,219,3,3,0.954256362
ma4-iN.wav,ma,i,6,220,4,4,1.434567812
di3-aN.wav,di,a,6,221,3,3,1.028589902
di2-aN.wav,di,a,6,222,2,2,0.708763143
mi2-iN.wav,mi,i,6,223,2,2,0.708408382
mi1-aN.wav,mi,a,6,224,1,1,1.264126551
di1-aN.wav,di,a,6,225,1,1,0.852995199
lu1-iN.wav,lu,i,6,226,1,1,1.019327117
di1-iN.wav,di,i,6,227,1,1,1.503038731
bu2-iN.wav,bu,i,6,228,2,3,1.169705398
mi2-aN.wav,mi,a,6,229,2,2,0.772085752
bu1-aN.wav,bu,a,6,230,1,1,0.916277781
mi3-iN.wav,mi,i,6,231,3,3,0.683979139
mi4-aN.wav,mi,a,6,232,4,4,0.864750889
mi1-iN.wav,mi,i,6,233,1,1,0.787567972
ma4-aN.wav,ma,a,6,234,4,4,0.969254164
ma1-aN.wav,ma,a,6,235,1,1,1.022071469
lu2-iN.wav,lu,i,6,236,2,2,0.882887830
bu4-aN.wav,bu,a,6,237,4,4,0.955641880
lu4-iN.wav,lu,i,6,238,4,4,1.023369066
ma1-iN.wav,ma,i,6,239,1,1,0.805251625
lu3-aN.wav,lu,a,6,240,3,3,0.824572243
bu4-iN.wav,bu,i,7,241,4,4,0.967758831
bu2-iN.wav,bu,i,7,242,2,2,0.858364165
mi1-iN.wav,mi,i,7,243,1,1,0.856182916
di4-iN.wav,di,i,7,244,4,4,1.638769866
mi4-iN.wav,mi,i,7,245,4,4,0.796458206
bu1-iN.wav,bu,i,7,246,1,1,0.762220181
di3-aN.wav,di,a,7,247,3,3,0.777143405
lu2-aN.wav,lu,a,7,248,2,2,1.455434736
bu3-iN.wav,bu,i,7,249,3,3,0.636585195
ma2-aN.wav,ma,a,7,250,2,2,0.881265918
lu1-iN.wav,lu,i,7,251,1,1,0.896452904
di1-aN.wav,di,a,7,252,1,1,0.875816215
lu2-iN.wav,lu,i,7,253,2,2,0.918609898
di2-aN.wav,di,a,7,254,2,2,0.852536096
di4-aN.wav,di,a,7,255,4,4,1.564825981
mi4-aN.wav,mi,a,7,256,4,4,0.836583826
lu3-aN.wav,lu,a,7,257,3,3,0.730314957
bu4-aN.wav,bu,a,7,258,4,4,1.456459335
lu3-iN.wav,lu,i,7,259,3,3,1.423439881
ma2-iN.wav,ma,i,7,260,2,2,0.971800096
ma3-aN.wav,ma,a,7,261,3,3,1.250221768
lu1-aN.wav,lu,a,7,262,1,2,3.086117625
di1-iN.wav,di,i,7,263,1,1,0.667882843
ma1-aN.wav,ma,a,7,264,1,1,0.964525614
ma1-iN.wav,ma,i,7,265,1,1,0.672329500
ma4-aN.wav,ma,a,7,266,4,4,0.826918728
di2-iN.wav,di,i,7,267,2,2,1.049191012
lu4-iN.wav,lu,i,7,268,4,4,1.109453507
bu2-aN.wav,bu,a,7,269,2,2,1.506757734
