F9,accx(m/ss),pospathx(m),pospathy(m),posx(m),posy(m),time(s),vel(km/h),yaw(rad)
,0.2,413.771,-20.175,413.3765,-18.208,0,48.19,-1.359054
,0.2,414.033,-21.488,413.639,-19.5215,0.1,48.26,-1.361912
,0.2,414.296,-22.804,413.9025,-20.837,0.2,48.33,-1.364759
,0.2,414.559,-24.121,414.1655,-22.154,0.3,48.4,-1.367588
,0.2,414.822,-25.441,414.429,-23.474,0.4,48.47,-1.36968
,0.2,415.086,-26.762,414.693,-24.795,0.5,48.54,-1.371042
,0.2,415.351,-28.085,414.9575,-26.118,0.6,48.61,-1.371938
,0,415.615,-29.41,415.222,-27.4425,0.7,48.61,-1.372534
,-0.2,415.879,-30.733,415.486,-28.7655,0.8,48.54,-1.372919
,-0.4,416.143,-32.053,415.75,-30.086,0.9,48.39,-1.373164
,-0.6,416.406,-33.368,416.013,-31.401,1,48.18,-1.373323
,-0.8,416.667,-34.677,416.274,-32.7095,1.1,47.89,-1.373437
,-0.93,416.927,-35.977,416.534,-34.0095,1.2,47.55,-1.373504
,-0.98,417.185,-37.267,416.792,-35.3,1.3,47.2,-1.373542
,-1.02,417.441,-38.548,417.048,-36.581,1.4,46.83,-1.373571
,-1.07,417.694,-39.818,417.3015,-37.851,1.5,46.45,-1.373591
,-1.1,417.946,-41.078,417.553,-39.111,1.6,46.05,-1.373602
,-1.14,418.196,-42.327,417.803,-40.36,1.7,45.64,-1.373611
,-1.18,418.443,-43.564,418.05,-41.597,1.8,45.21,-1.373611
,-1.21,418.688,-44.79,418.295,-42.823,1.9,44.78,-1.373611
,-1.25,418.93,-46.004,418.537,-44.0365,2,44.33,-1.37362
,-1.28,419.17,-47.205,418.777,-45.238,2.1,43.87,-1.373627
,-1.4,419.407,-48.393,419.014,-46.426,2.2,43.36,-1.373625
,-1.48,419.642,-49.567,419.249,-47.6,2.3,42.83,-1.373625
,-1.49,419.874,-50.727,419.481,-48.7595,2.4,42.3,-1.373625
,-1.51,420.102,-51.871,419.709,-49.904,2.5,41.75,-1.373623
,-1.53,420.328,-53.001,419.935,-51.034,2.6,41.2,-1.373698
,-1.56,420.551,-54.116,420.158,-52.1485,2.7,40.64,-1.374065
,-1.58,420.77,-55.215,420.377,-53.248,2.8,40.07,-1.374648
,-1.6,420.987,-56.299,420.594,-54.3315,2.9,39.49,-1.375382
,-1.63,421.2,-57.366,420.807,-55.399,3,38.91,-1.376247
,-1.66,421.41,-58.418,421.017,-56.451,3.1,38.31,-1.377196
