Date,Departmental Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Vat Registration Num,Amount
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,"ASHTON, LEIGH & WIGAN PCT",HAFS-10474,,40000000
01/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,151598.47
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BARKING AND DAGENHAM PCT,HAFS-10475,,38000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BARNET PCT,HAFS-10476,,45000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BARNSLEY PCT,HAFS-10477,,40000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BASSETLAW PCT,HAFS-10478,,13000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BATH & NORTH EAST SOMERSET PCT,HAFS-10479,,36000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BEDFORDSHIRE PCT,HAFS-10480,,51000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BERKSHIRE EAST PCT,HAFS-10481,,40097000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BERKSHIRE WEST PCT,HAFS-10482,,47000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BEXLEY CARE TRUST,HAFS-10483,,24000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BIRMINGHAM EAST AND NORTH PCT,HAFS-10484,,54000000
01/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),CASH FUNDING Rev Inside RAB,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-10485,,21869000
