Comments__(NB: These will be published alongside your row of information),F31,F32,F33,F34,F35,F36,F38,F39,F42,Grand Total paybill/staffing (payroll and non-payroll) costs,"Main, parent or __sponsoring department:",Non-Payroll staff (contingent labour/consultancy) costs,Organisation __type,Organisation name,Payroll staff costs,F10,F11,F12,F13,F14,F15,F16,F17,F19,F20,F21,F22,F23,F24,F25,F26,F27,F29,F5,F6,F7,F8,F9,Grand Total __(workforce numbers),Number of non-payroll staff (contingent labour and consultants/consultancy),Payroll staff
,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",,,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"£143,728.98","£109,979.38","£92,571.12","£1,909,847.20","£1,069,204.93","£12,157,872.15","£3,808,086.56","£4,827,342.97",,"£16,985,215.12",Department for Transport,"£1,019,256.41",Ministerial Department,Department for Transport,"£8,832,540.54",861,836.88,157,153.31,,,2324,2256,21,0,0,76,76,0,0,97,97,2353,147.89,277,268.42,865,849.05,2421,21,164
,"£78,479.00","£127,563.00","£91,036.00","£2,153,853.00","£1,061,402.00","£14,203,391.00","£1,393.00","£27,197.00",,"£14,230,588.00",Department for Transport,"£25,804.00",Executive Agency,Driver and Vehicle Licensing Agency,"£10,691,058.00",217,207.89,7,7,0,0,6042,5350,0,0,0,2,1.68,0,0,2,1.681818182,5352,3644.81,805,761.98,763,728.46,6044,0,4250
,"£511,067.18","£13,442.29","£307,290.79","£2,064,314.07","£1,114,382.40","£13,931,651.24",,"£548,698.29",,"£14,480,349.53",Department for Transport,"£548,698.29",Executive Agency,Driver and Vehicle Standards Agency,"£9,921,154.51",86,84.94,6,6,0,0,4697,4437,42.6,6,6,40,40,0,0,89,88.6,4526,1078.36,2693,2535.49,749,732.64,4786,43,1163
,"£290,658.89","£7,750.00","£89,572.66","£597,448.20","£343,889.94","£4,014,728.70",,"£76,673.35",,"£4,091,402.05",Department for Transport,"£76,673.35",Executive Agency,Maritime and Coastguard Agency,"£2,685,409.01",120,117.33,6,5.65,0,0,1063,1015,20,0,0,0,0,0,0,20,20,1035,264.8,211,202.99,440,424.33,1083,20,286
,"£20,083.00","£11,232.00","£35,956.00","£90,358.00","£52,688.00","£678,091.00",,"£16,490.00",,"£694,581.00",Department for Transport,"£16,490.00",Executive Agency,Vehicle Certification Agency,"£467,774.00",10,10,1,1,0,0,160,150,2,0,0,0,0,0,0,2,2,152,32.85,35,32.49,77,74.01,162,2,37
,"£3,231.00",,,"£5,526.00","£5,736.00","£63,253.00","-£45,550.00","-£16,975.00",,"£46,278.00",Department for Transport,"£28,575.00",Executive Non-Departmental Public Body,British Transport Police Authority,"£48,760.00",5,4.6,3,2.3,0,0,15,14,0,0,0,0,0,0,0,0,0,14,0,0,0,7,7,15,0,0
,£0.00,£0.00,£0.00,"£589,676.14","£757,982.07","£8,867,339.68",£0.00,"£3,469,288.61",,"£12,336,628.29",Department for Transport,"£3,469,288.61",Executive Non-Departmental Public Body,High Speed 2,"£7,519,681.47",384,384,183,183,110,98,1141,1129,33,173,164,129,127,0,0,335,324,1453,45,51,51,368,367.8,1476,33,45
,"£7,341.78",£0.00,"£11,923.68","£138,582.97","£114,523.49","£1,131,353.21",,"£35,336.75",,"£1,166,689.96",Department for Transport,"£35,336.75",Executive Non-Departmental Public Body,Northern Lighthouse Board,"£858,981.29",14,13.8,3,3,68,68,189,170,10.87,0,0,0,0,0,0,15,10.87,180,7.49,18,18,61,59.24,204,15,25
,£569.00,"£5,175.00",,"£34,142.00","£18,169.00","£223,568.00",,"£31,572.00",,"£255,140.00",Department for Transport,"£31,572.00",Executive Non-Departmental Public Body,Transport Focus,"£165,513.00",11,11,4,4,0,0,47,46,5,0,0,5,1.5,0,0,10,6.5,53,0,10,9.8,22,21.6,57,5,0
,"£10,574.90",£196.00,"£42,467.41","£182,188.60","£99,841.22","£1,192,665.66",,"£27,538.81",,"£1,220,204.47",Department for Transport,"£27,538.81",Executive Non-Departmental Public Body,Trinity House,"£857,397.53",0,0,0,0,292,282,292,282,11,0,0,0,0,0,0,11,11,293,0,0,0,0,0,303,11,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
