F1,F11,F2,F3,F4,F5,F7,F8,F9,F10,F6
Newcastle City Council Invoices over £250 paid in June 2015,,,,,,,,,,
,,,,,,,,,,
Directorate,,Service Area,Group Description,Paid Date,Supplier Name,Cap/Rev,Cost Centre,Cost Centre Name,,
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,ORCHARD CARE HOME .COM (3)LTD,Revenue,1MG10,Nursing Care OP,2170.88,6598941
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,ORCHARD CARE HOME .COM (3)LTD,Revenue,1MG10,Nursing Care OP,2170.88,6625228
Environment & Regeneration,,Allendale Building,Supplies & Services,01/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KVWC,Minor Works Contracts,585,6586731
Environment & Regeneration,,Allendale Building,Supplies & Services,12/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KVWC,Minor Works Contracts,947.2,6586534
Environment & Regeneration,,Allendale Building,Supplies & Services,12/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KVWC,Minor Works Contracts,912.4,6586536
Environment & Regeneration,,Highways,Premises,09/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KEMC,Highways,1501.02,6596694
Environment & Regeneration,,Highways,Premises,15/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KEMC,Highways,4257.92,6607156
Environment & Regeneration,,Highways,Premises,01/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KEMC,Highways,764.64,6596564
Environment & Regeneration,,Highways,Premises,12/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KEMC,Highways,2722.05,6552181
Environment & Regeneration,,Highways,Premises,12/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KEMC,Highways,574.22,6596816
Environment & Regeneration,,NS: Admin & Finance,Premises,11/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1DQ9W,S&M Throckley First School,2400,6606983
Environment & Regeneration,,NS: Waste Management,Supplies & Services,19/06/2015,THOMPSONS OF PRUDHOE LTD,Revenue,1KE23,Sandhills,292.5,6607816
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,14 EIGHTH ROW,Revenue,1MH20,Residential Care PD,9800,6598903
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,14 EIGHTH ROW,Revenue,1MH20,Residential Care PD,9800,6625184
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,18 SEA VIEW VILLAS,Revenue,1MK34,Shared Lives - Adult LD,1540,6598826
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,18 SEA VIEW VILLAS,Revenue,1MK34,Shared Lives - Adult LD,1540,6625120
Adult and Culture,,Library Admin,Capital Expenditure,42172,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,7071.03,6612677
Adult and Culture,,Library Admin,Capital Expenditure,42177,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,14142.06,6612678
Adult and Culture,,Library Admin,Capital Expenditure,42179,3M UNITED KINGDOM PLC,Capital,2EJ99,Budgeted Savings,7071.03,6612512
