Id,Catid,Com,Hid,K,Knv
1,101492,14,101492,1,18
1,101492,15,96227,1,18
1,101492,15,104658,1,18
1,101492,15,5871165,1,18
1,101492,16,97917,1,18
2,536247,9,536247,1,11
2,536247,10,536201,1,11
2,536247,10,84974,1,11
3,8294315,7,8294315,1,9
3,8294315,8,165080,1,9
3,8294315,8,1868705,1,9
4,84974,63,84974,1,66
4,84974,64,84976,1,66
4,84974,65,165080,1,66
4,84974,66,108395,1,66
5,1080298,16,1080298,1,19
5,1080298,19,461941,1,19
5,1080298,18,165080,1,19
5,1080298,17,84974,1,19
6,4156518,46,4156518,1,49
6,4156518,47,106626,1,49
6,4156518,48,8025004,1,49
6,4156518,48,136920,1,49
7,106626,15,106626,1,17
7,106626,16,3106537,1,17
7,106626,16,136920,1,17
8,154212,19,154212,1,24
8,154212,20,149632,1,24
8,154212,20,5871165,1,24
8,154212,20,87495,1,24
8,154212,20,445649,1,24
8,154212,20,138155,1,24
9,192442,9,192442,1,13
9,192442,13,85536,1,13
9,192442,10,151077,1,13
9,192442,10,4291963,1,13
9,192442,11,423033,1,13
10,872824,1,872824,1,3
10,872824,2,448539,1,3
10,872824,2,329643,1,3
11,87520,21,87520,1,23
11,87520,22,84921,1,23
11,87520,23,108395,1,23
12,84920,7,84920,1,11
12,84920,10,293687,1,11
12,84920,8,99401,1,11
12,84920,8,3930512,1,11
12,84920,8,273608,1,11
13,4006194,6,4006194,1,10
13,4006194,7,5834281,1,10
13,4006194,7,5747345,1,10
13,4006194,7,2279420,1,10
13,4006194,7,11846139,1,10
14,5142800,3,5142800,1,5
14,5142800,4,154211,1,5
14,5142800,4,82811,1,5
15,149632,33,149632,1,36
15,149632,34,149634,1,36
15,149632,34,154211,1,36
15,149632,34,84915,1,36
16,4548566,6,4548566,1,8
16,4548566,8,154211,1,8
16,4548566,7,124542,1,8
17,4210400,1,4210400,1,2
17,4210400,2,2728463,1,2
18,3256580,8,3256580,1,12
18,3256580,9,199398,1,12
18,3256580,9,6320316,1,12
18,3256580,9,6320301,1,12
18,3256580,9,5142800,1,12
19,104861,10,104861,1,12
19,104861,12,85441,1,12
19,104861,11,1351474,1,12
20,84695,38,84695,1,39
20,84695,39,85441,1,39
21,1112666,6,1112666,1,9
21,1112666,7,1112496,1,9
21,1112666,9,169786,1,9
21,1112666,7,81357,1,9
22,104627,19,104627,1,22
22,104627,21,1917545,1,22
22,104627,20,112140,1,22
22,104627,20,4645993,1,22
23,435608,9,435608,1,12
23,435608,10,8808913,1,12
23,435608,10,182953,1,12
23,435608,11,7690187,1,12
24,1457418,4,1457418,1,6
24,1457418,5,1197394,1,6
24,1457418,5,9994402,1,6
25,1294103,4,1294103,1,6
25,1294103,5,1048506,1,6
25,1294103,5,1457418,1,6
