Cp,H,S,T
0.0174867,0.012864,0.00295154,5
0.139923,0.396697,0.0511471,10
0.855238,4.02244,0.278229,20
4.21404,27.0453,1.16596,30
9.6702,95.0405,3.08463,40
17.3539,227.751,6.0143,50
51.3615,1044.08,18.7905,75
97.0089,2893.49,39.756,100
139.821,5867.31,66.1217,125
175.764,9826.01,94.8924,150
205.981,14607.7,124.317,175
232.266,20092.5,153.573,200
255.81,26198.4,182.313,225
277.225,32865.4,210.391,250
296.787,40044.2,237.744,275
313.37,47109.5,262.403,298.15
314.634,47690.4,264.346,300
330.86,55762.4,290.181,325
345.559,64220.7,315.247,350
358.837,73028.5,339.549,375
370.806,82151.6,363.097,400
381.583,91558.9,385.906,425
391.284,101222,407.996,450
400.018,111115,429.39,475
407.887,121216,450.111,500
414.987,131503,470.187,525
421.4,141959,489.643,550
427.204,152568,508.505,575
432.465,163315,526.8,600
437.244,174187,544.552,625
441.592,185173,561.787,650
445.557,196264,578.528,675
449.179,207448,594.799,700
