Address,Case Date,Case Reference,Case Text,Classification,Codetext,Decision,Decision Date,Decision Target Date,Geo X,Public Consultation End Date,Public Consultation Start Date,Service Type,Ward,Appeal Decision Date,Decision Notice Date,Decision Type,Geo Y,Status
"""11 Erringden Road",17/02/2017,15/00123/NMA,Change from pebble dash finish from first floor to roof to a render finish (Cream or White),NMA,,,,,,,,NMA,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5AR,,,,,,,,,,,,,,,,
426009,14/03/2017,"""",401016,NMAA,,,,02/05/2017,02/05/2017,,,NMAA,,,,7,,
"""Land North Of Moorlands",09/03/2017,17/00312/FUL,Demolition of garage to facilitate new dwelling and associated mound soakaway.,Q18,,,,,,,,FUL,,,,,,
,,Keighley Road,,,,,,,,,,,,,,,,
,,Illingworth,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
430585,24/05/2017,"""",406851,1,DEL,17/05/2017,11/04/2017,24/05/2017,24/05/2017,,,1,,,,6,,1
"""Beehive Mills",10/03/2017,15/00011/NMA,Non Material Amendment to application 15/00011 - Amendment to alter windows (Non Material Amendment),NMA,,,,,,,,NMA,,,,,,
,,Hebble End,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
427155,10/04/2017,"""",398881,NMAA,DEL,,,07/04/2017,07/04/2017,,,NMAA,,,,2,,
"""Unit 2  Victoria Retail Park",09/03/2017,16/01051/NMA,Non-material amendment to application 16/01051/FUL,NMA,,,,,,,,NMA,,,,,,
,,Shroggs Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 5HZ,,,,,,,,,,,,,,,,
425823,30/03/2017,"""",408508,NMAA,DEL,,,05/04/2017,05/04/2017,,,NMAA,,,,9,,
"""Unit 2  Victoria Retail Park",09/03/2017,16/01050/NMA,Non material amendment to application 16/01050,NMA,,,,,,,,NMA,,,,,,
,,Shroggs Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 5HZ,,,,,,,,,,,,,,,,
425823,30/03/2017,"""",408508,NMAA,DEL,,,05/04/2017,05/04/2017,,,NMAA,,,,9,,
"""Car Wash",16/03/2017,17/00337/FUL,Additional access for car wash,Q18,,,,,,,,FUL,,,,,,
,,West Street,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423130,02/08/2017,"""",405632,PCO,,27/07/2017,16/06/2017,,,,,,,,,14,,
"""Greenhead",17/03/2017,17/00350/HSE,Two storey extension to side elevation,Q21,,,,,,,,HSE,,,,,,
,,Hollas Lane,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 3QZ,,,,,,,,,,,,,,,,
422768,23/06/2017,"""",407183,11,DEL,09/06/2017,16/05/2017,22/06/2017,22/06/2017,,,11,,,,4,,11
"""Greenhead",17/03/2017,17/00351/LBC,Two storey extension to side elevation (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Hollas Lane,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 3QZ,,,,,,,,,,,,,,,,
422768,23/06/2017,"""",407183,13,DEL,09/06/2017,16/05/2017,22/06/2017,22/06/2017,,,13,,,,4,,13
,17/03/2017,17/00352/RES,"""Detached dwelling (Reserved Matters Persuant to Application 14/00575/OUT)",Q18,,,,,,,,RES,,,,,,
,,,,,,,,,,,,,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HD6 2RP,,,,,,,,,,,,,,,,
423429,31/05/2017,"""",413742,2,DEL,19/05/2017,27/04/2017,07/06/2017,07/06/2017,,,2,,,,1,,2
"""14 Wade House Road",21/03/2017,17/00364/FUL,Change of use application from A1 retail to A3 restaurant,Q20,,,,,,,,FUL,,,,,,
,,Shelf,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7PB,,,,,,,,,,,,,,,,
428690,18/05/2017,"""",412368,1,DEL,04/05/2017,06/04/2017,24/05/2017,24/05/2017,,,1,,,,8,,1
"""25 Trenance Gardens",10/01/2017,17/20001/TPO,Fell one tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Greetland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX4 8NN,,,,,,,,,,,,,,,,
421134,07/03/2017,"""",408041,4,DEL,14/02/2017,18/01/2017,07/03/2017,07/03/2017,,,4,,,,4,,4
"""Former Garage Site Junction Of Ogden Lane And",13/01/2017,12/00583/DISC2,Submission of information to Discharge Conditions on application 12/00583 - conditions 1 and 2,DISC,,,,,,,,DISC2,,,,,,
,,Rastrick Common,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
421629,10/03/2017,"""",414050,PCOMP,,,,15/03/2017,15/03/2017,,,PCOMP,,,,11,,
"""Woodcroft",13/01/2017,17/00031/HSE,Replacement porch,Q21,,,,,,,,HSE,,,,,,
,,1A Briscoe Lane,,,,,,,,,,,,,,,,
,,Greetland,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX4 8JT,,,,,,,,,,,,,,,,
421262,20/03/2017,"""",408861,1,DEL,20/03/2017,31/01/2017,14/03/2017,14/03/2017,,,1,,,,4,,1
"""2 Thorn Bank",16/01/2017,17/22003/TCA,Prune one tree and fell one tree (Tree in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
