Diffusion tube,Year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
C01,2004,14,16,24,18,18,12,7,20,12,20,23,15
C02,2004,,,,,,,,,,,,
C03,2004,42,42,44,46,47,36,44,42,43,38,47,29
C04,2004,,,,,,,,,,,,
C05,2004,35,38,48,46,43,34,26,49,39,29,45,39
C06,2004,,,,,,,,,,,,
C07,2004,65,60,59,,,61,50,,66,46,71,61
C08,2004,15,16,26,26,25,16,13,24,19,18,26,14
C09,2004,,48,50,,51,,,,,42,59,48
C10,2004,51,52,74,54,70,,14,57,46,46,75,62
C11,2004,,,,,,,,,,,,
C12,2004,27,29,32,36,36,26,13,36,28,26,32,28
C13,2004,,,,,,,,,,,,
C14,2004,24,29,37,,,27,17,27,30,26,23,22
C15,2004,49,38,43,,,44,23,49,94,30,29,39
C16,2004,,,,,,,,,,,,
C17,2004,37,42,44,43,50,42,37,44,42,37,40,36
C18,2004,30,38,40,38,40,34,30,34,36,36,40,29
C19,2004,,32,40,40,38,27,,30,,29,33,26
N01 (ug/m3),2004,49,,43,42,53,44,38,38,41,52,46,43
N02 (ug/m3),2004,17,12,29,29,30,24,16,31,23,29,31,23
N03 (ug/m3),2004,59,53,53,55,61,54,35,53,,60,59,51
NO4 (ug/m3),2004,33,31,37,34,36,27,19,35,22,35,33,26
HB1,2004,56,44,51,57,58,51,28,57,57,41,58,53
GH1,2004,58,51,57,28,28,60,25,27,67,34,57,53
GH2,2004,57,52,57,29,28,58,29,23,64,36,51,53
GH3,2004,67,52,58,29,30,57,46,29,63,48,61,38
AT1,2004,55,49,57,53,73,43,33,65,37,32,56,51
HTA M,2004,67,65,85,99,88,75,33,85,84,48,60,73
HTA F,2004,,,,,,,,,,,,
CB1,2004,,,,,,,,,,,,
CB2,2004,,,,,,,,,,,,
CB3,2004,,,,,,,,,,,,
HP1,2004,,,,,,,,,,,,
HP2,2004,47,44,109,60,73,48,19,57,53,39,58,51
HP3,2004,,,,,,,,,,,,
HP4,2004,,,,,,,,,,,,
HP5,2004,,,,,,,,,,,,
NB1,2004,41,42,65,65,56,33,23,58,42,45,59,41
NB2,2004,36,41,44,47,33,,20,34,34,31,41,24
KX1,2004,,50,50,52,53,36,,53,48,39,53,47
KX2,2004,,,,,,,,,,,,
HTA H,2004,59,43,52,49,22,47,44,47,64,39,55,53
KH1,2004,18,21,31,25,30,18,15,17,19,21,22,19
KH2,2004,53,57,73,85,81,62,52,52,68,49,46,50
KH3,2004,25,18,32,30,38,23,10,24,21,20,33,23
HCF1,2004,34,29,39,36,38,32,23,41,38,24,47,42
WC1,2004,29,34,38,33,37,39,33,37,35,29,39,39
HB2,2004,38,39,55,51,48,38,39,54,42,37,51,62
HB3,2004,22,,36,34,40,,46,35,22,28,35,22
HB4,2004,35,38,48,50,48,37,26,41,36,42,41,39
HB5,2004,41,36,45,45,40,33,15,39,40,34,27,37
CRH1,2004,63,44,66,67,73,55,35,64,65,43,50,64
CRH2,2004,59,66,59,,62,60,26,,68,57,64,63
CRH3,2004,61,74,74,49,72,60,42,54,70,69,46,64
CRH4,2004,31,44,50,,43,34,27,49,39,34,43,38
CRH5,2004,38,39,51,,,36,19,41,38,48,48,37
CRH6,2004,42,34,49,,51,31,27,41,40,,43,28
CRH7,2004,25,,40,43,38,,9,34,28,40,38,
CS1,2004,,51,59,50,56,40,24,62,54,44,72,18
CS2,2004,40,51,53,47,52,41,22,46,41,34,41,35
CS3,2004,38,35,47,50,47,35,20,41,44,34,49,33
CS4,2004,37,38,37,49,59,30,17,44,39,34,38,38
CS5,2004,26,,44,,45,,15,40,31,20,31,31
CS6,2004,,,,,,,,,,,,
DR1,2004,64,47,57,61,53,48,35,62,59,43,49,51
LF1,2004,59,47,51,59,57,53,26,64,62,32,,48
WR1,2004,51,53,41,75,61,55,50,56,57,43,54,50
C01,2004,14,16,24,18,18,12,7,20,12,20,23,15
C02,2004,,,,,,,,,,,,
C03,2004,42,42,44,46,47,36,44,42,43,38,47,29
C04,2004,,,,,,,,,,,,
C05,2004,35,38,48,46,43,34,26,49,39,29,45,39
C06,2004,,,,,,,,,,,,
C07,2004,65,60,59,,,61,50,,66,46,71,61
C08,2004,15,16,26,26,25,16,13,24,19,18,26,14
C09,2004,,48,50,,51,,,,,42,59,48
C10,2004,51,52,74,54,70,,14,57,46,46,75,62
C11,2004,,,,,,,,,,,,
C12,2004,27,29,32,36,36,26,13,36,28,26,32,28
C13,2004,,,,,,,,,,,,
C14,2004,24,29,37,,,27,17,27,30,26,23,22
C15,2004,49,38,43,,,44,23,49,94,30,29,39
