X.bias sim.,X.mean sim.,Year,Bias Sim,F1,FE.mov.HFE,Mean Eta Hat,Mean Eta Hat Ttest Pvalue,Mean Nu Eta,Mean Nu Eta Ttest Pvalue,Mean Sim,Ngames,Nu Prime Eta,Nu Prime Eta.Permutation.Percentile,Number.Neutral.Site,raw.mean.HFE,RE.mov.HFE,se.FE.mov.HFE,se.RE.mov.HFE
bias_sim,mean_sim,2000,-0.008075551,17,3.539949537,2.457564803e-15,1.000000000,6.492695680e-20,0.586631272,3.531873986,1189,-1.455119235e-16,0.114726885,0,3.539949537,3.539949537,0.331234926,0.331091546
bias_sim,mean_sim,2001,0.004443911,16,2.915895711,-3.567922418e-15,1.000000000,1.547099087e-20,0.908201965,2.920339622,1189,3.468970733e-17,0.605252395,0,2.915895711,2.915895711,0.323455464,0.323326683
bias_sim,mean_sim,2002,-0.013267883,15,3.398654331,2.724035527e-15,1.000000000,-1.211158285e-19,0.595115775,3.385386448,1189,4.904643791e-16,0.985217015,0,3.398654331,3.398654331,0.344187009,0.344044506
bias_sim,mean_sim,2003,0.000504677,14,3.883936081,4.542313604e-15,1.000000000,-7.330196744e-21,0.934889890,3.884440758,1189,-5.423533821e-17,0.276799723,0,3.883936081,3.883936081,0.330505910,0.330374643
bias_sim,mean_sim,2004,0.016072146,13,3.633942959,2.725863716e-15,1.000000000,-1.074577376e-06,0.037567069,3.650015104,1189,-0.000117141,0.415495585,0,3.632464256,3.633814689,0.314112213,0.314004209
bias_sim,mean_sim,2005,0.015783928,12,3.126016260,-1.169507199e-15,1.000000000,-1.439464545e-19,0.237921417,3.141800189,1230,8.149347017e-17,0.743206257,0,3.126016260,3.126016260,0.313816327,0.313691964
bias_sim,mean_sim,2006,-0.004950363,11,3.368292683,8.640946754e-16,1.000000000,2.728471174e-19,0.064359224,3.363342320,1230,5.406401327e-17,0.639592360,0,3.368292683,3.368292683,0.322919427,0.322783334
bias_sim,mean_sim,2007,0.001631073,10,2.986178862,-2.034077117e-15,1.000000000,1.038794996e-19,0.377458876,2.987809935,1230,9.069571401e-17,0.774356226,0,2.986178862,2.986178862,0.336456455,0.336324113
bias_sim,mean_sim,2008,-0.004091559,9,3.405691057,1.605192035e-15,1.000000000,2.538631722e-20,0.908894466,3.401599498,1230,3.451364834e-16,0.939358061,0,3.405691057,3.405691057,0.328012808,0.327876435
bias_sim,mean_sim,2009,0.008998521,8,3.251219512,8.891903417e-17,1,1.103010537e-19,0.542218989,3.260218033,1230,2.941334241e-16,0.947085053,0,3.251219512,3.251219512,0.326237918,0.326098818
bias_sim,mean_sim,2010,0.017049166,7,2.731707317,-5.402507145e-16,1.000000000,5.066644811e-20,0.799583655,2.748756483,1230,5.305494459e-16,0.997129003,0,2.731707317,2.731707317,0.333916508,0.333776752
bias_sim,mean_sim,2011,-0.035416718,6,3.160922833,-4.292284121e-16,1,5.918486704e-07,0.397637872,3.125506115,1228,2.487212019e-05,0.510749489,0,3.161237785,3.160949971,0.315403131,0.315270219
bias_sim,mean_sim,2012,-0.005258448,5,2.820202020,-2.242650510e-15,1.000000000,-1.238446849e-19,0.586694275,2.814943573,990,1.295461988e-16,0.710182290,0,2.820202020,2.820202020,0.377090625,0.376906962
bias_sim,mean_sim,2013,-0.014593375,4,3.223041921,2.261067491e-15,1.000000000,9.489367595e-08,0.806479835,3.208448546,1229,0.000226996,0.709640290,0,3.226200163,3.223288092,0.333692569,0.333560111
bias_sim,mean_sim,2014,0.009166408,3,2.613658178,2.153971807e-15,1.000000000,1.645113650e-07,0.652520857,2.622824586,1229,-7.309587586e-05,0.430958569,0,2.612693247,2.613578658,0.331686553,0.331565851
bias_sim,mean_sim,2015,0.003278431,2,2.405985478,3.106731181e-15,1.000000000,-1.346402003e-07,0.798999049,2.409263909,1228,0.000137528,0.598992401,0,2.407980456,2.406134063,0.338046740,0.337914408
bias_sim,mean_sim,2016,0.001923537,1,2.686841052,1.915134717e-15,1.000000000,-5.232126430e-07,0.293891453,2.688764589,1228,0.000504443,0.841314159,0,2.695439739,2.687378709,0.328134161,0.327992659
bias_sim,mean_sim,2017,-0.004565775,18,3.123574236,3.628622287e-15,1.000000000,-1.474523169e-06,0.115027235,3.119008461,1227,0.001071095,0.873885126,0,3.135289324,3.124763539,0.356583024,0.356436719
