DATE,TIME,Qty,PRODUCTID,Price,ProductType,"""ProductDescription""","""URL""",Comments
28/01/2018,00:00,2,MG-8769,$74.69,Men's Waterproof Hiking Boots,"""These waterproof hiking boots for men are rugged enough for peak performance yet light and quick enough to keep feet from feeling weighed down.""","""https://www.example.com/product/MG_8769.html"",",
30/01/2018,00:30,1,RI-8070,$80.08,Men's Ventilated Trail Shoes,"""Great grip and super extra breathability make these amazing ventilated hikers ideal for warm","dry conditions.""","""https://www.example.com/product/RI_8070.html"","
31/01/2018,00:45,1,RI-9546,$25.55,Switch Fly Rods,"""This lightweight fly rod delivers outstanding performance and can be used as either a traditional one-handed rod or as a two-handed spey rod. Two-handed technique is ideal for larger rivers and situations where there isn't space for a backcast.""","""https://www.example.com/product/RI_9546.html"",",
14/02/2018,01:15,1,CC-1697,$34.22,Men's Heavy-Duty Suspenders,"""These tough Men's Heavy-Duty Suspenders are made to hold up heavy wool pants without stretching in any way","shape or form.""","""https://www.example.com/product/CC_1697.html"","
20/02/2018,02:45,1,BH-7531,$48.08,Women's  Fly Rod 8 Wt.,"""Amazingly crisp action and a remarkably light feel in our 8\'9"""" length fly rod","impeccably designed for her.""","""https://www.example.com/product/BH_7531.html"","
21/02/2018,03:00,3,BH-3190,$65.38,Men's Down Vest,"""Our best-value down vest is packed with ultralight 650-fill for warmth and protection","even when wet.""","""https://www.example.com/product/BH_3190.html"","
22/02/2018,03:15,3,HK-3372,$6.45,Tropic Cap,"""Made with the same tropical fabric as our bestselling shirts","this wonderful cap provides UPF 50+ sun protection.""","""https://www.example.com/product/HK_3372.html"","
23/02/2018,03:30,1,HK-5716,$46.01,Women's 3-in-1 Jacket,"""Our women's 3-in-1 jacket offers three times the value and versatility for the solution to year-round weather conditions.""","""https://www.example.com/product/HK_5716.html"",",
24/02/2018,03:45,1,AN-5096,$33.83,"""Organic Cotton Oxford Shirt","Plaid""","""Introducing our most easygoing oxford ever. This plaid oxford shirt is made from the purest cotton organically sourced and 100% certified and washed for a super laid-back look and feel.""","""https://www.example.com/product/AN_5096.html"","
25/02/2018,04:00,3,AN-8641,$65.18,Kids' Good Mocs,"""Just like Mom and Dad our shearling slippers wrap completely around little feet for soft","cozy comfort.""","""https://www.example.com/product/AN_8641.html"","
